name,acc,total_time,freeze_degree
No Freeze,"[0.42219999999999996, 0.49770000000000003, 0.4894, 0.5151, 0.5744, 0.5637, 0.5737, 0.5987, 0.5844, 0.5965, 0.6126, 0.6307, 0.6215999999999999, 0.6273, 0.6219, 0.6054999999999999, 0.6257, 0.6448, 0.626, 0.6327, 0.6459, 0.6108, 0.6409, 0.6425, 0.6399, 0.6683, 0.6501, 0.6498, 0.65, 0.6505, 0.6464, 0.6317, 0.6441, 0.6617000000000001, 0.6661, 0.6703, 0.6711, 0.6581, 0.6423000000000001, 0.6435, 0.6592, 0.6723, 0.6790999999999999, 0.6548999999999999, 0.6838, 0.6814, 0.6643000000000001, 0.6831, 0.6867, 0.67]",,
Static Freeze: 1 blocks,"[0.42219999999999996, 0.49770000000000003, 0.4894, 0.5151, 0.5744, 0.5637, 0.5737, 0.5987, 0.5844, 0.5965, 0.6126, 0.6307, 0.6315999999999999, 0.6389, 0.6293, 0.6331, 0.6441, 0.6563, 0.6376, 0.6498, 0.649, 0.6675, 0.6618, 0.6567000000000001, 0.6507, 0.6586, 0.6507, 0.6518, 0.6674, 0.6557, 0.6637000000000001, 0.6591, 0.6557999999999999, 0.6514, 0.6628000000000001, 0.665, 0.6485, 0.6547, 0.6642, 0.6556000000000001, 0.6559999999999999, 0.6624, 0.6651, 0.6627, 0.6675, 0.6754000000000001, 0.6639, 0.6707, 0.6739, 0.6739]",,
Static Freeze: 2 blocks,"[0.42219999999999996, 0.49770000000000003, 0.4894, 0.5151, 0.5744, 0.5637, 0.5737, 0.5987, 0.5844, 0.5965, 0.6126, 0.6307, 0.6441, 0.6342, 0.6439, 0.6513, 0.637, 0.6476999999999999, 0.6494, 0.6518, 0.6507999999999999, 0.6554000000000001, 0.6507999999999999, 0.6575, 0.6587000000000001, 0.6581999999999999, 0.6495000000000001, 0.6568, 0.662, 0.6609999999999999, 0.6587000000000001, 0.6598, 0.6615000000000001, 0.66, 0.6553, 0.6604000000000001, 0.6663, 0.6568999999999999, 0.6674, 0.6572, 0.664, 0.66, 0.6556000000000001, 0.6640999999999999, 0.664, 0.6594, 0.6637000000000001, 0.6634, 0.6616, 0.6587000000000001]",,
Static Freeze: 3 blocks,"[0.42219999999999996, 0.49770000000000003, 0.4894, 0.5151, 0.5744, 0.5637, 0.5737, 0.5987, 0.5844, 0.5965, 0.6126, 0.6307, 0.6379, 0.6395000000000001, 0.6406000000000001, 0.6431, 0.6472, 0.6388, 0.6444, 0.6389, 0.6448, 0.6437, 0.6431, 0.6452, 0.6476000000000001, 0.6502, 0.647, 0.6434000000000001, 0.6431, 0.6389, 0.6416, 0.6437, 0.6493000000000001, 0.6454000000000001, 0.6439, 0.6419, 0.645, 0.6448999999999999, 0.6433, 0.6426000000000001, 0.6414, 0.6529, 0.6470999999999999, 0.6459, 0.6431999999999999, 0.6406999999999999, 0.6491, 0.6501, 0.64, 0.6486]",,
Gradually Freezing,"[0.42219999999999996, 0.49770000000000003, 0.4894, 0.5151, 0.5744, 0.5637, 0.5737, 0.5987, 0.5844, 0.5965, 0.6126, 0.6307, 0.5918, 0.6217, 0.6119, 0.5887, 0.6414, 0.6308, 0.6286999999999999, 0.6378, 0.6416, 0.6452, 0.6378, 0.6463, 0.6551, 0.6476000000000001, 0.6579999999999999, 0.6557999999999999, 0.6537000000000001, 0.6586, 0.6595, 0.6605, 0.6626000000000001, 0.6634, 0.6638, 0.6606000000000001, 0.6602, 0.6648000000000001, 0.6618999999999999, 0.664, 0.6629999999999999, 0.6593000000000001, 0.6596, 0.6638, 0.659, 0.6604000000000001, 0.6628000000000001, 0.6640999999999999, 0.6640999999999999, 0.6584]",0:07:14.939078,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
