name,acc,total_time,transmission_time,transmission_volume,transmission_volume_readable,transmission_volume_history
Baseline: No Freeze,"[0.1209, 0.2121, 0.3544, 0.39890000000000003, 0.4146, 0.42969999999999997, 0.4637, 0.5474, 0.5720000000000001, 0.4661, 0.6332, 0.6494, 0.6573, 0.5722999999999999, 0.6899, 0.6846, 0.6769, 0.6801, 0.7184, 0.7165, 0.5891, 0.7351000000000001, 0.7228, 0.7793000000000001, 0.7822, 0.7574, 0.7767000000000001, 0.7855, 0.8101999999999999, 0.7559999999999999, 0.802, 0.7848, 0.7916, 0.7957, 0.8220000000000001, 0.8029000000000001, 0.8331000000000001, 0.7704000000000001, 0.8364, 0.825, 0.8131, 0.8315, 0.8347, 0.8436, 0.8482, 0.8293, 0.8490000000000001, 0.8588, 0.8262, 0.8652, 0.8693000000000001, 0.8515, 0.8714, 0.8425, 0.8512000000000001, 0.8562000000000001, 0.8718, 0.8644, 0.8713, 0.8755, 0.8774, 0.8597, 0.8823000000000001, 0.8659, 0.8775, 0.8795000000000001, 0.8806, 0.8808, 0.8504, 0.8898, 0.8805, 0.8706999999999999, 0.8837, 0.8864, 0.8787, 0.8728, 0.8715, 0.8731, 0.8883, 0.8981, 0.8967, 0.8943000000000001, 0.8992, 0.893, 0.8885, 0.8714, 0.8909999999999999, 0.8891, 0.8656999999999999, 0.9013, 0.8962, 0.8929, 0.899, 0.9005, 0.8892, 0.8725, 0.8916, 0.9016, 0.8912, 0.8941]",0:54:23.095119,0:49:18.961972,151965883200,17.6912 GB,"[1787833920, 3575667840, 5363501760, 7151335680, 8939169600, 10727003520, 12514837440, 14302671360, 16090505280, 17878339200, 19666173120, 21454007040, 23241840960, 25029674880, 26817508800, 28605342720, 30393176640, 32181010560, 33968844480, 35756678400, 37544512320, 39332346240, 41120180160, 42908014080, 44695848000, 46483681920, 48271515840, 50059349760, 51847183680, 53635017600, 55422851520, 57210685440, 58998519360, 60786353280, 62574187200, 64362021120, 66149855040, 67937688960, 69725522880, 71513356800, 73301190720, 75089024640, 76876858560, 78664692480, 80452526400, 82240360320, 84028194240, 85816028160, 87603862080, 89391696000, 91179529920, 92967363840, 94755197760, 96543031680, 98330865600, 100118699520, 101906533440, 103694367360, 105482201280, 107270035200, 109057869120, 110845703040, 112633536960, 114421370880, 116209204800, 117997038720, 119784872640, 121572706560, 123360540480, 125148374400, 126936208320, 128724042240, 130511876160, 132299710080, 134087544000, 135875377920, 137663211840, 139451045760, 141238879680, 143026713600, 144814547520, 146602381440, 148390215360, 150178049280, 151965883200]"
Static Freeze: 2 layers,"[0.1209, 0.2121, 0.3544, 0.39890000000000003, 0.4146, 0.42969999999999997, 0.4637, 0.5474, 0.5720000000000001, 0.4661, 0.6332, 0.6494, 0.6573, 0.5722999999999999, 0.6899, 0.6876000000000001, 0.7182, 0.7125, 0.6912, 0.7437999999999999, 0.7598999999999999, 0.75, 0.754, 0.7493000000000001, 0.7745000000000001, 0.7509, 0.7506999999999999, 0.7872, 0.7947, 0.8076000000000001, 0.8056, 0.797, 0.7874, 0.8011, 0.8038, 0.8084, 0.8269, 0.7961, 0.8170000000000001, 0.7693000000000001, 0.8176000000000001, 0.8291, 0.8225, 0.8276, 0.8306999999999999, 0.8251000000000001, 0.8432, 0.8402, 0.82, 0.8404, 0.8436, 0.8275, 0.8170000000000001, 0.8472, 0.8543999999999999, 0.8617, 0.8472, 0.8522, 0.8476, 0.8528, 0.8532, 0.863, 0.8554999999999999, 0.8623999999999999, 0.8643000000000001, 0.8615, 0.867, 0.8586, 0.8648, 0.8598, 0.8665, 0.866, 0.8737, 0.8454999999999999, 0.8668, 0.8537, 0.8763, 0.8713, 0.8752, 0.867, 0.8823000000000001, 0.8089, 0.8726999999999999, 0.882, 0.8683, 0.8815000000000001, 0.8665, 0.8534, 0.8721, 0.8576999999999999, 0.877, 0.8875, 0.851, 0.8502, 0.882, 0.8856999999999999, 0.8853, 0.879, 0.8695999999999999, 0.8747]",0:53:29.827021,0:48:56.708385,149953518400,17.4569 GB,"[1764159040, 3528318080, 5292477120, 7056636160, 8820795200, 10584954240, 12349113280, 14113272320, 15877431360, 17641590400, 19405749440, 21169908480, 22934067520, 24698226560, 26462385600, 28226544640, 29990703680, 31754862720, 33519021760, 35283180800, 37047339840, 38811498880, 40575657920, 42339816960, 44103976000, 45868135040, 47632294080, 49396453120, 51160612160, 52924771200, 54688930240, 56453089280, 58217248320, 59981407360, 61745566400, 63509725440, 65273884480, 67038043520, 68802202560, 70566361600, 72330520640, 74094679680, 75858838720, 77622997760, 79387156800, 81151315840, 82915474880, 84679633920, 86443792960, 88207952000, 89972111040, 91736270080, 93500429120, 95264588160, 97028747200, 98792906240, 100557065280, 102321224320, 104085383360, 105849542400, 107613701440, 109377860480, 111142019520, 112906178560, 114670337600, 116434496640, 118198655680, 119962814720, 121726973760, 123491132800, 125255291840, 127019450880, 128783609920, 130547768960, 132311928000, 134076087040, 135840246080, 137604405120, 139368564160, 141132723200, 142896882240, 144661041280, 146425200320, 148189359360, 149953518400]"
Static Freeze: 4 layers,"[0.1209, 0.2121, 0.3544, 0.39890000000000003, 0.4146, 0.42969999999999997, 0.4637, 0.5474, 0.5720000000000001, 0.4661, 0.6332, 0.6494, 0.6573, 0.5722999999999999, 0.6899, 0.7182, 0.7292000000000001, 0.7234999999999999, 0.7177, 0.7397, 0.7375, 0.752, 0.75, 0.7554000000000001, 0.7686, 0.7734000000000001, 0.7565999999999999, 0.7783, 0.7726999999999999, 0.773, 0.7798, 0.7746, 0.7859, 0.7926000000000001, 0.7726000000000001, 0.7966, 0.7931, 0.7854000000000001, 0.8028, 0.8028, 0.7908, 0.8012999999999999, 0.7922, 0.8078, 0.79, 0.8006, 0.7870999999999999, 0.8107, 0.8070999999999999, 0.8234, 0.8164, 0.8, 0.8253, 0.8068000000000001, 0.8231, 0.8281999999999999, 0.8173, 0.8284, 0.825, 0.8358, 0.8186, 0.8305, 0.8344, 0.8312, 0.8259000000000001, 0.8336, 0.8459, 0.8425, 0.8423, 0.8305, 0.8379000000000001, 0.8329000000000001, 0.8345, 0.8073, 0.8292, 0.8508, 0.8478, 0.8504999999999999, 0.851, 0.8556, 0.8491, 0.8204, 0.8541, 0.8540000000000001, 0.8517, 0.8561, 0.8549, 0.8503000000000001, 0.8456999999999999, 0.8545999999999999, 0.8498, 0.8482, 0.8548, 0.8569, 0.8504, 0.847, 0.8568000000000001, 0.858, 0.8640000000000001, 0.8395]",0:50:21.622754,0:46:06.659733,142805793600,16.6248 GB,"[1680068160, 3360136320, 5040204480, 6720272640, 8400340800, 10080408960, 11760477120, 13440545280, 15120613440, 16800681600, 18480749760, 20160817920, 21840886080, 23520954240, 25201022400, 26881090560, 28561158720, 30241226880, 31921295040, 33601363200, 35281431360, 36961499520, 38641567680, 40321635840, 42001704000, 43681772160, 45361840320, 47041908480, 48721976640, 50402044800, 52082112960, 53762181120, 55442249280, 57122317440, 58802385600, 60482453760, 62162521920, 63842590080, 65522658240, 67202726400, 68882794560, 70562862720, 72242930880, 73922999040, 75603067200, 77283135360, 78963203520, 80643271680, 82323339840, 84003408000, 85683476160, 87363544320, 89043612480, 90723680640, 92403748800, 94083816960, 95763885120, 97443953280, 99124021440, 100804089600, 102484157760, 104164225920, 105844294080, 107524362240, 109204430400, 110884498560, 112564566720, 114244634880, 115924703040, 117604771200, 119284839360, 120964907520, 122644975680, 124325043840, 126005112000, 127685180160, 129365248320, 131045316480, 132725384640, 134405452800, 136085520960, 137765589120, 139445657280, 141125725440, 142805793600]"
Static Freeze: 6 layers,"[0.1209, 0.2121, 0.3544, 0.39890000000000003, 0.4146, 0.42969999999999997, 0.4637, 0.5474, 0.5720000000000001, 0.4661, 0.6332, 0.6494, 0.6573, 0.5722999999999999, 0.6899, 0.7136, 0.7173999999999999, 0.7306999999999999, 0.7367, 0.7445, 0.7318000000000001, 0.7409, 0.7492, 0.7386, 0.7464, 0.7476999999999999, 0.7537999999999999, 0.7361, 0.7422, 0.7569, 0.7637999999999999, 0.759, 0.7609, 0.763, 0.7597, 0.7687999999999999, 0.7673000000000001, 0.7681, 0.7695000000000001, 0.7687999999999999, 0.7667, 0.7741, 0.7625, 0.7842, 0.7766, 0.7784, 0.7847, 0.7863, 0.7720999999999999, 0.7841, 0.7803, 0.7915000000000001, 0.794, 0.7909999999999999, 0.7955, 0.785, 0.7959, 0.7874, 0.7896, 0.7968999999999999, 0.7927, 0.7917000000000001, 0.8003, 0.7877, 0.8042, 0.8044, 0.7962, 0.7979999999999999, 0.8053, 0.8079000000000001, 0.8028, 0.7935, 0.8109999999999999, 0.8055, 0.7953, 0.7981, 0.8112, 0.8024, 0.8079999999999999, 0.7987000000000001, 0.8081999999999999, 0.8078, 0.8028, 0.81, 0.8145, 0.8043, 0.818, 0.8047, 0.8195999999999999, 0.8167, 0.8170999999999999, 0.8195, 0.8170999999999999, 0.8103, 0.8197, 0.8103, 0.8161, 0.8140999999999999, 0.8128, 0.8092]",0:40:36.624851,0:36:35.410917,114249710400,13.3004 GB,"[1344114240, 2688228480, 4032342720, 5376456960, 6720571200, 8064685440, 9408799680, 10752913920, 12097028160, 13441142400, 14785256640, 16129370880, 17473485120, 18817599360, 20161713600, 21505827840, 22849942080, 24194056320, 25538170560, 26882284800, 28226399040, 29570513280, 30914627520, 32258741760, 33602856000, 34946970240, 36291084480, 37635198720, 38979312960, 40323427200, 41667541440, 43011655680, 44355769920, 45699884160, 47043998400, 48388112640, 49732226880, 51076341120, 52420455360, 53764569600, 55108683840, 56452798080, 57796912320, 59141026560, 60485140800, 61829255040, 63173369280, 64517483520, 65861597760, 67205712000, 68549826240, 69893940480, 71238054720, 72582168960, 73926283200, 75270397440, 76614511680, 77958625920, 79302740160, 80646854400, 81990968640, 83335082880, 84679197120, 86023311360, 87367425600, 88711539840, 90055654080, 91399768320, 92743882560, 94087996800, 95432111040, 96776225280, 98120339520, 99464453760, 100808568000, 102152682240, 103496796480, 104840910720, 106185024960, 107529139200, 108873253440, 110217367680, 111561481920, 112905596160, 114249710400]"
Static Freeze: 8 layers,"[0.1209, 0.2121, 0.3544, 0.39890000000000003, 0.4146, 0.42969999999999997, 0.4637, 0.5474, 0.5720000000000001, 0.4661, 0.6332, 0.6494, 0.6573, 0.5722999999999999, 0.6899, 0.7156, 0.7227, 0.7190000000000001, 0.7269, 0.7195999999999999, 0.7140000000000001, 0.7273999999999999, 0.7182999999999999, 0.7252, 0.7256, 0.7265999999999999, 0.7278, 0.7323000000000001, 0.7243, 0.7297, 0.7329000000000001, 0.7268000000000001, 0.7295999999999999, 0.7253000000000001, 0.7277, 0.7289, 0.7306999999999999, 0.7356, 0.7312000000000001, 0.7242000000000001, 0.7343000000000001, 0.736, 0.7275, 0.7331, 0.7293000000000001, 0.7303000000000001, 0.7387999999999999, 0.7371, 0.7334999999999999, 0.7337, 0.7315999999999999, 0.7354999999999999, 0.7329000000000001, 0.7390000000000001, 0.7284999999999999, 0.7384999999999999, 0.7387999999999999, 0.7354, 0.7328, 0.7373000000000001, 0.7376999999999999, 0.7345999999999999, 0.7356999999999999, 0.7309, 0.7373000000000001, 0.7382, 0.7394, 0.7392, 0.74, 0.7381, 0.7317, 0.7409, 0.7397, 0.7362000000000001, 0.7337, 0.7373000000000001, 0.726, 0.736, 0.7325, 0.7409, 0.738, 0.728, 0.7381, 0.7386, 0.7378, 0.7431, 0.7415999999999999, 0.7273000000000001, 0.7384000000000001, 0.7418, 0.7365999999999999, 0.7408, 0.7445, 0.7433, 0.7372, 0.7343999999999999, 0.74, 0.742, 0.7413, 0.737]",0:03:47.573962,0:00:01.912028,95009600,11.326 MB,"[1117760, 2235520, 3353280, 4471040, 5588800, 6706560, 7824320, 8942080, 10059840, 11177600, 12295360, 13413120, 14530880, 15648640, 16766400, 17884160, 19001920, 20119680, 21237440, 22355200, 23472960, 24590720, 25708480, 26826240, 27944000, 29061760, 30179520, 31297280, 32415040, 33532800, 34650560, 35768320, 36886080, 38003840, 39121600, 40239360, 41357120, 42474880, 43592640, 44710400, 45828160, 46945920, 48063680, 49181440, 50299200, 51416960, 52534720, 53652480, 54770240, 55888000, 57005760, 58123520, 59241280, 60359040, 61476800, 62594560, 63712320, 64830080, 65947840, 67065600, 68183360, 69301120, 70418880, 71536640, 72654400, 73772160, 74889920, 76007680, 77125440, 78243200, 79360960, 80478720, 81596480, 82714240, 83832000, 84949760, 86067520, 87185280, 88303040, 89420800, 90538560, 91656320, 92774080, 93891840, 95009600]"
