name,acc,total_time,transmission_time,transmission_volume,transmission_volume_readable,transmission_volume_history
Baseline: No Freeze,"[0.113, 0.1617, 0.2506, 0.2983, 0.3383, 0.3564, 0.3979, 0.4188, 0.4432, 0.46619999999999995, 0.47840000000000005, 0.5036, 0.5135000000000001, 0.5425, 0.5597, 0.5640999999999999, 0.5871, 0.5985, 0.605, 0.6078, 0.632, 0.6494, 0.6528, 0.6587000000000001, 0.6664, 0.6778, 0.6873999999999999, 0.6853, 0.6927, 0.7120000000000001, 0.7112, 0.7241, 0.7333, 0.7356999999999999, 0.7354, 0.7398, 0.7437999999999999, 0.7481, 0.7537, 0.7572, 0.7593000000000001, 0.7535, 0.765, 0.7681999999999999, 0.7735, 0.7748999999999999, 0.7807, 0.7812, 0.7801, 0.785, 0.7901, 0.7911, 0.7864, 0.792, 0.7945, 0.7931, 0.8008, 0.8029000000000001, 0.8051, 0.8019, 0.8064, 0.8073, 0.8122, 0.8112999999999999, 0.8142, 0.8083, 0.8195999999999999, 0.8168000000000001, 0.8194, 0.8195, 0.8167, 0.8201999999999999, 0.8218000000000001, 0.8198000000000001, 0.8266, 0.8222, 0.8284, 0.8269, 0.8281999999999999, 0.8295, 0.8243, 0.8271, 0.8342, 0.8245, 0.8354, 0.8293, 0.8327, 0.8345, 0.8323999999999999, 0.8328, 0.8332999999999999, 0.8343, 0.8393, 0.8371999999999999, 0.8378, 0.8384999999999999, 0.8442000000000001, 0.8388, 0.8436, 0.8426]",0:36:51.016074,0:32:12.726528,87508547200,10.1873 GB,"[1029512320, 2059024640, 3088536960, 4118049280, 5147561600, 6177073920, 7206586240, 8236098560, 9265610880, 10295123200, 11324635520, 12354147840, 13383660160, 14413172480, 15442684800, 16472197120, 17501709440, 18531221760, 19560734080, 20590246400, 21619758720, 22649271040, 23678783360, 24708295680, 25737808000, 26767320320, 27796832640, 28826344960, 29855857280, 30885369600, 31914881920, 32944394240, 33973906560, 35003418880, 36032931200, 37062443520, 38091955840, 39121468160, 40150980480, 41180492800, 42210005120, 43239517440, 44269029760, 45298542080, 46328054400, 47357566720, 48387079040, 49416591360, 50446103680, 51475616000, 52505128320, 53534640640, 54564152960, 55593665280, 56623177600, 57652689920, 58682202240, 59711714560, 60741226880, 61770739200, 62800251520, 63829763840, 64859276160, 65888788480, 66918300800, 67947813120, 68977325440, 70006837760, 71036350080, 72065862400, 73095374720, 74124887040, 75154399360, 76183911680, 77213424000, 78242936320, 79272448640, 80301960960, 81331473280, 82360985600, 83390497920, 84420010240, 85449522560, 86479034880, 87508547200]"
Static Freeze: 3 layers,"[0.113, 0.1617, 0.2506, 0.2983, 0.3383, 0.3564, 0.3979, 0.4188, 0.4432, 0.46619999999999995, 0.47840000000000005, 0.5036, 0.5135000000000001, 0.5425, 0.5597, 0.5677, 0.5734, 0.5866, 0.589, 0.6047, 0.6089, 0.6198, 0.6219, 0.6305, 0.6339, 0.6456000000000001, 0.6445000000000001, 0.6448, 0.6544, 0.6585, 0.6626000000000001, 0.6658, 0.6677, 0.6774, 0.6809000000000001, 0.6849, 0.6849, 0.6898000000000001, 0.6914, 0.6938, 0.6990000000000001, 0.7056, 0.7070000000000001, 0.7069, 0.7069, 0.7066, 0.7139, 0.7132, 0.7171, 0.7184, 0.72, 0.7256, 0.7293000000000001, 0.7229000000000001, 0.7340000000000001, 0.7340000000000001, 0.7341, 0.7354999999999999, 0.7426999999999999, 0.7345, 0.7428, 0.7437999999999999, 0.7461, 0.7462000000000001, 0.7489, 0.7458, 0.7484000000000001, 0.7501000000000001, 0.7509999999999999, 0.7519, 0.7490000000000001, 0.7545000000000001, 0.753, 0.7541, 0.7544, 0.7583, 0.7582, 0.7617, 0.7602, 0.7615000000000001, 0.7576999999999999, 0.7631999999999999, 0.7593000000000001, 0.7652, 0.7656999999999999, 0.7702, 0.7648999999999999, 0.7652, 0.7684000000000001, 0.7669, 0.7734000000000001, 0.7684000000000001, 0.7698999999999999, 0.7698999999999999, 0.7659999999999999, 0.77, 0.7684000000000001, 0.7698999999999999, 0.7748999999999999, 0.7696999999999999]",0:36:19.634719,0:31:47.731434,86699945600,10.0932 GB,"[1019999360, 2039998720, 3059998080, 4079997440, 5099996800, 6119996160, 7139995520, 8159994880, 9179994240, 10199993600, 11219992960, 12239992320, 13259991680, 14279991040, 15299990400, 16319989760, 17339989120, 18359988480, 19379987840, 20399987200, 21419986560, 22439985920, 23459985280, 24479984640, 25499984000, 26519983360, 27539982720, 28559982080, 29579981440, 30599980800, 31619980160, 32639979520, 33659978880, 34679978240, 35699977600, 36719976960, 37739976320, 38759975680, 39779975040, 40799974400, 41819973760, 42839973120, 43859972480, 44879971840, 45899971200, 46919970560, 47939969920, 48959969280, 49979968640, 50999968000, 52019967360, 53039966720, 54059966080, 55079965440, 56099964800, 57119964160, 58139963520, 59159962880, 60179962240, 61199961600, 62219960960, 63239960320, 64259959680, 65279959040, 66299958400, 67319957760, 68339957120, 69359956480, 70379955840, 71399955200, 72419954560, 73439953920, 74459953280, 75479952640, 76499952000, 77519951360, 78539950720, 79559950080, 80579949440, 81599948800, 82619948160, 83639947520, 84659946880, 85679946240, 86699945600]"
Static Freeze: 6 layers,"[0.113, 0.1617, 0.2506, 0.2983, 0.3383, 0.3564, 0.3979, 0.4188, 0.4432, 0.46619999999999995, 0.47840000000000005, 0.5036, 0.5135000000000001, 0.5425, 0.5597, 0.5745, 0.5751, 0.5724, 0.5842, 0.5806, 0.5869, 0.5886, 0.5881000000000001, 0.5974, 0.5997, 0.6021, 0.606, 0.6069, 0.6048, 0.6124, 0.6079, 0.6143, 0.6221, 0.6245, 0.6099, 0.6204999999999999, 0.6173, 0.6313, 0.6255, 0.6359, 0.628, 0.6297999999999999, 0.631, 0.6284000000000001, 0.6308, 0.6291, 0.6362, 0.6355, 0.6406000000000001, 0.6375, 0.6424, 0.6396999999999999, 0.6426000000000001, 0.6406999999999999, 0.6406000000000001, 0.642, 0.6469, 0.6437, 0.6448, 0.6476000000000001, 0.6461, 0.6509999999999999, 0.6496, 0.6459999999999999, 0.6481, 0.65, 0.6464, 0.652, 0.6533, 0.6545000000000001, 0.6504000000000001, 0.6581, 0.6573, 0.6586, 0.6611, 0.6568999999999999, 0.6577, 0.6568, 0.6607999999999999, 0.6607, 0.6579999999999999, 0.6573, 0.6591, 0.6607999999999999, 0.6594, 0.6629999999999999, 0.6584, 0.6597, 0.6592, 0.6686, 0.6637000000000001, 0.6651, 0.6661, 0.6644, 0.6659, 0.6667000000000001, 0.6703, 0.6646, 0.6657, 0.6609999999999999]",0:34:24.884052,0:30:08.629468,80213724800,9.3381 GB,"[943690880, 1887381760, 2831072640, 3774763520, 4718454400, 5662145280, 6605836160, 7549527040, 8493217920, 9436908800, 10380599680, 11324290560, 12267981440, 13211672320, 14155363200, 15099054080, 16042744960, 16986435840, 17930126720, 18873817600, 19817508480, 20761199360, 21704890240, 22648581120, 23592272000, 24535962880, 25479653760, 26423344640, 27367035520, 28310726400, 29254417280, 30198108160, 31141799040, 32085489920, 33029180800, 33972871680, 34916562560, 35860253440, 36803944320, 37747635200, 38691326080, 39635016960, 40578707840, 41522398720, 42466089600, 43409780480, 44353471360, 45297162240, 46240853120, 47184544000, 48128234880, 49071925760, 50015616640, 50959307520, 51902998400, 52846689280, 53790380160, 54734071040, 55677761920, 56621452800, 57565143680, 58508834560, 59452525440, 60396216320, 61339907200, 62283598080, 63227288960, 64170979840, 65114670720, 66058361600, 67002052480, 67945743360, 68889434240, 69833125120, 70776816000, 71720506880, 72664197760, 73607888640, 74551579520, 75495270400, 76438961280, 77382652160, 78326343040, 79270033920, 80213724800]"
Static Freeze: 9 layers,"[0.113, 0.1617, 0.2506, 0.2983, 0.3383, 0.3564, 0.3979, 0.4188, 0.4432, 0.46619999999999995, 0.47840000000000005, 0.5036, 0.5135000000000001, 0.5425, 0.5597, 0.5619, 0.5654, 0.5726, 0.574, 0.569, 0.5687, 0.5787, 0.5681, 0.5747, 0.5804, 0.5782, 0.5835, 0.5815, 0.581, 0.5764, 0.5815, 0.5811, 0.5832999999999999, 0.5825, 0.5829, 0.5892000000000001, 0.5822999999999999, 0.5882000000000001, 0.5893999999999999, 0.5881000000000001, 0.5918, 0.595, 0.5914, 0.5943999999999999, 0.5934, 0.5922, 0.5920000000000001, 0.5901, 0.5928, 0.5943, 0.5981000000000001, 0.5974, 0.5926, 0.5932, 0.5982, 0.5996, 0.5948, 0.5992999999999999, 0.5995, 0.5959, 0.5966, 0.5953, 0.6031, 0.5966, 0.5991, 0.5982999999999999, 0.5993999999999999, 0.6003000000000001, 0.6018, 0.6046, 0.6029, 0.5991, 0.5988, 0.5975, 0.6027, 0.5989, 0.6021, 0.6047, 0.6019, 0.6014, 0.6038, 0.6058, 0.6013000000000001, 0.6053000000000001, 0.6084, 0.6038, 0.6053999999999999, 0.6057, 0.6036, 0.6038, 0.6069, 0.6068, 0.6084, 0.6095, 0.609, 0.5992999999999999, 0.6072, 0.6056, 0.6073, 0.6067]",0:25:32.295926,0:21:47.770341,58279644800,6.7846 GB,"[685642880, 1371285760, 2056928640, 2742571520, 3428214400, 4113857280, 4799500160, 5485143040, 6170785920, 6856428800, 7542071680, 8227714560, 8913357440, 9599000320, 10284643200, 10970286080, 11655928960, 12341571840, 13027214720, 13712857600, 14398500480, 15084143360, 15769786240, 16455429120, 17141072000, 17826714880, 18512357760, 19198000640, 19883643520, 20569286400, 21254929280, 21940572160, 22626215040, 23311857920, 23997500800, 24683143680, 25368786560, 26054429440, 26740072320, 27425715200, 28111358080, 28797000960, 29482643840, 30168286720, 30853929600, 31539572480, 32225215360, 32910858240, 33596501120, 34282144000, 34967786880, 35653429760, 36339072640, 37024715520, 37710358400, 38396001280, 39081644160, 39767287040, 40452929920, 41138572800, 41824215680, 42509858560, 43195501440, 43881144320, 44566787200, 45252430080, 45938072960, 46623715840, 47309358720, 47995001600, 48680644480, 49366287360, 50051930240, 50737573120, 51423216000, 52108858880, 52794501760, 53480144640, 54165787520, 54851430400, 55537073280, 56222716160, 56908359040, 57594001920, 58279644800]"
Static Freeze: 12 layers,"[0.113, 0.1617, 0.2506, 0.2983, 0.3383, 0.3564, 0.3979, 0.4188, 0.4432, 0.46619999999999995, 0.47840000000000005, 0.5036, 0.5135000000000001, 0.5425, 0.5597, 0.5616, 0.5623, 0.5672, 0.5661, 0.5681, 0.5670000000000001, 0.5747, 0.5702, 0.5716, 0.5710000000000001, 0.5704, 0.5720000000000001, 0.5711999999999999, 0.5714, 0.5743, 0.5709000000000001, 0.5761, 0.5727, 0.5776, 0.5758, 0.5711999999999999, 0.5713, 0.5719, 0.5755, 0.5752, 0.5775, 0.5786, 0.5737, 0.5779, 0.5774, 0.5794, 0.5732, 0.5804, 0.5717, 0.5777, 0.5758, 0.5792, 0.5793, 0.5745, 0.5758, 0.5782, 0.5774, 0.5759000000000001, 0.5764, 0.5789, 0.5814, 0.5793, 0.5757, 0.579, 0.5787, 0.5829, 0.5795, 0.5793, 0.5792, 0.5807, 0.5792, 0.5782, 0.5796, 0.5811999999999999, 0.5829, 0.5837, 0.5809000000000001, 0.5793, 0.5814, 0.5835, 0.5799, 0.5815, 0.5808, 0.5807, 0.583, 0.5825, 0.5827, 0.5799, 0.5822999999999999, 0.5787, 0.5798, 0.58, 0.5845, 0.5822999999999999, 0.5817, 0.585, 0.5817, 0.5811999999999999, 0.5824, 0.5861999999999999]",0:13:49.311147,0:10:38.383971,29187395200,3.3979 GB,"[343381120, 686762240, 1030143360, 1373524480, 1716905600, 2060286720, 2403667840, 2747048960, 3090430080, 3433811200, 3777192320, 4120573440, 4463954560, 4807335680, 5150716800, 5494097920, 5837479040, 6180860160, 6524241280, 6867622400, 7211003520, 7554384640, 7897765760, 8241146880, 8584528000, 8927909120, 9271290240, 9614671360, 9958052480, 10301433600, 10644814720, 10988195840, 11331576960, 11674958080, 12018339200, 12361720320, 12705101440, 13048482560, 13391863680, 13735244800, 14078625920, 14422007040, 14765388160, 15108769280, 15452150400, 15795531520, 16138912640, 16482293760, 16825674880, 17169056000, 17512437120, 17855818240, 18199199360, 18542580480, 18885961600, 19229342720, 19572723840, 19916104960, 20259486080, 20602867200, 20946248320, 21289629440, 21633010560, 21976391680, 22319772800, 22663153920, 23006535040, 23349916160, 23693297280, 24036678400, 24380059520, 24723440640, 25066821760, 25410202880, 25753584000, 26096965120, 26440346240, 26783727360, 27127108480, 27470489600, 27813870720, 28157251840, 28500632960, 28844014080, 29187395200]"
