name,acc,total_time,total_trainable_params,transmission_time,transmission_volume,transmission_volume_readable,transmission_volume_history,speedup_ratio,speedup_trans_ratio
Baseline: No Freeze,"[0.1, 0.16079999999999997, 0.20309999999999997, 0.3091, 0.2949, 0.34990000000000004, 0.27140000000000003, 0.3761, 0.44670000000000004, 0.4254, 0.44659999999999994, 0.45189999999999997, 0.5255, 0.5004, 0.5106, 0.5748, 0.5448, 0.5855, 0.565, 0.5637, 0.6496999999999999, 0.6459999999999999, 0.6332, 0.6371, 0.5927, 0.6551, 0.7112, 0.6662, 0.6951, 0.5879, 0.765, 0.6877, 0.7116, 0.6562, 0.6638, 0.6648999999999999, 0.732, 0.7412000000000001, 0.6916, 0.7415, 0.7656000000000001, 0.736, 0.7904000000000001, 0.7559, 0.7998999999999999, 0.7797, 0.813, 0.8204, 0.8003, 0.6937000000000001, 0.7687999999999999, 0.8297, 0.7655, 0.8042, 0.7725, 0.7867000000000001, 0.7713, 0.7149, 0.7242000000000001, 0.8066, 0.754, 0.7977, 0.7384999999999999, 0.8284999999999999, 0.7661, 0.8114, 0.8392000000000001, 0.7764, 0.8012999999999999, 0.8051, 0.8573000000000001, 0.8044, 0.8090999999999999, 0.8326, 0.7598, 0.7873, 0.7746, 0.8295999999999999, 0.8072, 0.8406, 0.82, 0.8153, 0.8086, 0.8393999999999999, 0.7988, 0.8588, 0.8175, 0.8354, 0.8462000000000001, 0.8618000000000001, 0.8490000000000001, 0.8753, 0.8586, 0.8573999999999999, 0.8721, 0.8271999999999999, 0.8249, 0.8420000000000001, 0.8216, 0.8543000000000001]",3169.647236,,2871.323542,151965883200,17.6912 GB,"[1787833920, 3575667840, 5363501760, 7151335680, 8939169600, 10727003520, 12514837440, 14302671360, 16090505280, 17878339200, 19666173120, 21454007040, 23241840960, 25029674880, 26817508800, 28605342720, 30393176640, 32181010560, 33968844480, 35756678400, 37544512320, 39332346240, 41120180160, 42908014080, 44695848000, 46483681920, 48271515840, 50059349760, 51847183680, 53635017600, 55422851520, 57210685440, 58998519360, 60786353280, 62574187200, 64362021120, 66149855040, 67937688960, 69725522880, 71513356800, 73301190720, 75089024640, 76876858560, 78664692480, 80452526400, 82240360320, 84028194240, 85816028160, 87603862080, 89391696000, 91179529920, 92967363840, 94755197760, 96543031680, 98330865600, 100118699520, 101906533440, 103694367360, 105482201280, 107270035200, 109057869120, 110845703040, 112633536960, 114421370880, 116209204800, 117997038720, 119784872640, 121572706560, 123360540480, 125148374400, 126936208320, 128724042240, 130511876160, 132299710080, 134087544000, 135875377920, 137663211840, 139451045760, 141238879680, 143026713600, 144814547520, 146602381440, 148390215360, 150178049280, 151965883200]",1.0,1.0
Gradually Freezing: Primary Model,"[0.1, 0.16079999999999997, 0.20309999999999997, 0.3091, 0.2949, 0.34990000000000004, 0.27140000000000003, 0.3761, 0.44670000000000004, 0.4254, 0.44659999999999994, 0.45189999999999997, 0.5255, 0.5004, 0.5106, 0.5854, 0.5638000000000001, 0.49520000000000003, 0.5922999999999999, 0.6706, 0.6369, 0.6357, 0.6664, 0.6920000000000001, 0.565, 0.6472, 0.6893, 0.7114, 0.711, 0.6493000000000001, 0.7456999999999999, 0.7042, 0.7592, 0.7593000000000001, 0.7240000000000001, 0.7523000000000001, 0.7206999999999999, 0.7422, 0.7672, 0.7005, 0.6940999999999999, 0.8012, 0.7773, 0.7173999999999999, 0.7947, 0.7731, 0.7777, 0.7633, 0.7505, 0.7918000000000001, 0.7509999999999999, 0.7797, 0.8186, 0.753, 0.7843000000000001, 0.7778, 0.8120999999999999, 0.8022, 0.768, 0.8079999999999999, 0.7698, 0.7856000000000001, 0.7612000000000001, 0.8096, 0.8022, 0.795, 0.7979, 0.7947, 0.7878000000000001, 0.7878000000000001, 0.8222, 0.8006, 0.7968000000000001, 0.7923, 0.7994, 0.8199, 0.794, 0.7881, 0.7785, 0.8098000000000001, 0.8377, 0.8088, 0.8297, 0.7764, 0.8146, 0.8095, 0.8147, 0.809, 0.8078, 0.8078, 0.7726999999999999, 0.8044, 0.7946, 0.8236, 0.8376, 0.8138, 0.8281000000000001, 0.7853, 0.7972, 0.8017]",2618.562435,3983487450,2353.780109,127471598400,14.8396 GB,"[1787833920, 3575667840, 5363501760, 7151335680, 8939169600, 10727003520, 12514837440, 14302671360, 16090505280, 17878339200, 19654335680, 21430332160, 23206328640, 24982325120, 26758321600, 28534318080, 30310314560, 32086311040, 33862307520, 35638304000, 37402463040, 39166622080, 40930781120, 42694940160, 44459099200, 46223258240, 47987417280, 49751576320, 51515735360, 53279894400, 55007230400, 56734566400, 58461902400, 60189238400, 61916574400, 63643910400, 65371246400, 67098582400, 68825918400, 70553254400, 72233322560, 73913390720, 75593458880, 77273527040, 78953595200, 80633663360, 82313731520, 83993799680, 85673867840, 87353936000, 88886957760, 90419979520, 91953001280, 93486023040, 95019044800, 96552066560, 98085088320, 99618110080, 101151131840, 102684153600, 104028267840, 105372382080, 106716496320, 108060610560, 109404724800, 110748839040, 112092953280, 113437067520, 114781181760, 116125296000, 116881716160, 117638136320, 118394556480, 119150976640, 119907396800, 120663816960, 121420237120, 122176657280, 122933077440, 123689497600, 124445917760, 125202337920, 125958758080, 126715178240, 127471598400]",1.2104531836377619,1.219877562488145
