name,total_training_time,total_trainable_weights,save_transmission_ratio
No Freeze,0:27:51.491025,1117396100,0.0 %
Static (1/4),0:22:13.688421,1104078980,1.1917993986196973 %
Static (1/2),0:20:20.290501,1056777860,5.424955394063035 %
Static (3/4),0:18:27.368623,867803780,22.336960009078243 %
Opp. Freeze,0:19:35.935387,734650500,34.253350266749635 %
