name,total_training_time,total_trainable_weights,save_transmission_ratio
No Freeze,0:27:36.126605,1117396100,0.0 %
Static (1/4),0:22:58.629814,1106298500,0.9931661655164126 %
Static (1/2),0:21:28.423745,1066880900,4.520796161719199 %
Static (3/4),0:19:56.250003,909402500,18.61413334089854 %
Opp. Freeze,0:20:59.763541,831345540,25.59974569447665 %
