name,acc,total_time,freeze_degree
No Freeze,"[0.4972, 0.6068, 0.6439, 0.7181000000000001, 0.7563, 0.7748, 0.8081999999999999, 0.8334, 0.8239, 0.8399, 0.8401000000000001, 0.8545, 0.8461, 0.8676999999999999, 0.8618000000000001, 0.8687, 0.8706, 0.8745, 0.8708, 0.887, 0.8833, 0.8895000000000001, 0.8922, 0.8841, 0.893, 0.8915000000000001, 0.8835, 0.8970999999999999, 0.9020999999999999, 0.9077, 0.9014, 0.9029, 0.9046, 0.899, 0.9066, 0.9107999999999999, 0.9067000000000001, 0.9053, 0.9083, 0.9020999999999999, 0.9074, 0.9015000000000001, 0.9076000000000001, 0.9174, 0.9117000000000001, 0.9101, 0.9016, 0.9164, 0.9186, 0.9178000000000001, 0.9184, 0.9152, 0.9143000000000001, 0.9172, 0.9106000000000001, 0.9196, 0.9181999999999999, 0.919, 0.9209, 0.9145, 0.922, 0.9218000000000001, 0.9198000000000001, 0.92, 0.9186, 0.9243000000000001, 0.9222, 0.9220999999999999, 0.9201999999999999, 0.9237000000000001, 0.9218000000000001, 0.9235, 0.925, 0.9266, 0.9225, 0.9226000000000001, 0.9264, 0.9261, 0.9262999999999999, 0.9262, 0.927, 0.9285, 0.9284, 0.9269, 0.9229999999999999, 0.927, 0.9289000000000001, 0.9275, 0.927, 0.9274, 0.9290999999999999, 0.929, 0.9274, 0.9292, 0.9296, 0.9287000000000001, 0.9309999999999999, 0.9278, 0.9283, 0.9277]",,
Static (1/4),"[0.4972, 0.6068, 0.6439, 0.7181000000000001, 0.7563, 0.7748, 0.8081999999999999, 0.8334, 0.8239, 0.8399, 0.867, 0.8733, 0.8711, 0.8789, 0.8845000000000001, 0.8826, 0.8919, 0.8859, 0.8812000000000001, 0.8802, 0.8748, 0.8887999999999999, 0.8683, 0.8936, 0.8952, 0.8911, 0.8939, 0.8908, 0.8711, 0.9001, 0.9011, 0.9063, 0.9039, 0.9007999999999999, 0.9073, 0.9026000000000001, 0.907, 0.9037999999999999, 0.9002, 0.9051, 0.8987, 0.9097, 0.9051, 0.9047, 0.9104000000000001, 0.9024, 0.9070999999999999, 0.9062, 0.9131, 0.9097, 0.9129, 0.9103, 0.9114, 0.9118, 0.9138, 0.9096, 0.912, 0.9139, 0.9112, 0.9118, 0.9131, 0.9129, 0.9164, 0.9167000000000001, 0.9154000000000001, 0.9187000000000001, 0.917, 0.9192, 0.919, 0.917, 0.9163, 0.9192, 0.9179999999999999, 0.9178000000000001, 0.9176000000000001, 0.9193000000000001, 0.9222, 0.924, 0.9201999999999999, 0.9201999999999999, 0.922, 0.9237000000000001, 0.9216, 0.9228000000000001, 0.9209999999999999, 0.9212, 0.9225, 0.9198000000000001, 0.9181, 0.9176000000000001, 0.9216, 0.9243000000000001, 0.9226000000000001, 0.922, 0.9235, 0.9214, 0.9231, 0.9225, 0.9259000000000001, 0.9248000000000001]",,
Static (1/2),"[0.4972, 0.6068, 0.6439, 0.7181000000000001, 0.7563, 0.7748, 0.8081999999999999, 0.8334, 0.8239, 0.8399, 0.8559, 0.8798999999999999, 0.8706, 0.851, 0.8785, 0.8896, 0.8792, 0.8812000000000001, 0.8806999999999999, 0.8844, 0.8905, 0.8933, 0.8909999999999999, 0.8906000000000001, 0.8883, 0.8956000000000001, 0.8954000000000001, 0.8952, 0.8937999999999999, 0.8874, 0.9003, 0.895, 0.8928, 0.8994, 0.8981, 0.8933, 0.8952, 0.9015000000000001, 0.8987999999999999, 0.8951, 0.8972, 0.9013, 0.9036, 0.9002, 0.8978, 0.8936, 0.9005, 0.9017000000000001, 0.9077, 0.9012, 0.9057999999999999, 0.9081, 0.9075, 0.8981, 0.9068999999999999, 0.8987, 0.9037000000000001, 0.9089, 0.9081, 0.9064, 0.9081999999999999, 0.9087999999999999, 0.9055, 0.9091, 0.9085, 0.9075, 0.9096, 0.9089, 0.9075, 0.9113, 0.9081, 0.9118, 0.9126000000000001, 0.9157, 0.9142, 0.9126000000000001, 0.9109999999999999, 0.9061, 0.9084, 0.9133, 0.9129, 0.9122, 0.9116, 0.9123, 0.912, 0.9151, 0.9125, 0.9145, 0.9131, 0.9142, 0.9140999999999999, 0.9116, 0.9122, 0.9131999999999999, 0.9139, 0.9137000000000001, 0.9156, 0.915, 0.9137000000000001, 0.9145]",,
Static (3/4),"[0.4972, 0.6068, 0.6439, 0.7181000000000001, 0.7563, 0.7748, 0.8081999999999999, 0.8334, 0.8239, 0.8399, 0.8793000000000001, 0.8820999999999999, 0.8853, 0.8812000000000001, 0.8803, 0.8825, 0.8861, 0.8815000000000001, 0.8901, 0.8845999999999999, 0.8933, 0.8818, 0.8863, 0.895, 0.8944, 0.8906999999999999, 0.8926000000000001, 0.9002, 0.8912, 0.8908, 0.8911, 0.8956000000000001, 0.8859999999999999, 0.8869, 0.8946999999999999, 0.8913, 0.8926999999999999, 0.8912, 0.895, 0.8934000000000001, 0.8939, 0.8964, 0.8931999999999999, 0.8905, 0.8925, 0.8976000000000001, 0.8937999999999999, 0.8916, 0.8981999999999999, 0.8986, 0.8979, 0.8944, 0.8929, 0.8945000000000001, 0.8964, 0.8948999999999999, 0.8962, 0.898, 0.8963, 0.8968, 0.9014, 0.8964, 0.8992, 0.9001, 0.9006000000000001, 0.8948999999999999, 0.9011, 0.9018999999999999, 0.9009999999999999, 0.9018, 0.8994, 0.9018999999999999, 0.9034, 0.9009, 0.9016, 0.9035, 0.9018, 0.9024, 0.9007999999999999, 0.8985, 0.9018, 0.9014, 0.9039, 0.9023, 0.9015000000000001, 0.9061, 0.9001, 0.9075, 0.9055, 0.9061, 0.9075, 0.9046, 0.903, 0.9048, 0.9026000000000001, 0.9053, 0.9046, 0.9072, 0.9076000000000001, 0.9075]",,
Opp. Freeze,"[0.4972, 0.6068, 0.6439, 0.7181000000000001, 0.7563, 0.7748, 0.8081999999999999, 0.8334, 0.8239, 0.8399, 0.8365, 0.8639, 0.8492000000000001, 0.865, 0.8632, 0.8798999999999999, 0.8874, 0.8553000000000001, 0.8776999999999999, 0.8683, 0.8967, 0.8937, 0.8966, 0.8906000000000001, 0.8989, 0.9054000000000001, 0.9043000000000001, 0.9018999999999999, 0.9007, 0.8945000000000001, 0.9059, 0.9048, 0.8996999999999999, 0.9020999999999999, 0.8962, 0.9104000000000001, 0.9134, 0.9109999999999999, 0.9105, 0.9129, 0.9155, 0.9190999999999999, 0.9184, 0.9166, 0.9203, 0.9185, 0.9195, 0.9198000000000001, 0.9194, 0.9205, 0.9185, 0.9159, 0.9203, 0.9192, 0.9181999999999999, 0.9198000000000001, 0.9196, 0.9166, 0.9187000000000001, 0.9181, 0.9212, 0.9209999999999999, 0.9179999999999999, 0.9195, 0.9188, 0.9195, 0.9194, 0.9204000000000001, 0.9201999999999999, 0.922, 0.9206, 0.92, 0.9212, 0.9189, 0.9184, 0.9193000000000001, 0.9201999999999999, 0.9197, 0.9224, 0.9212, 0.9194, 0.9218000000000001, 0.9217, 0.9198000000000001, 0.9211, 0.9198000000000001, 0.9193000000000001, 0.9194, 0.9168000000000001, 0.9188, 0.9218999999999999, 0.9198000000000001, 0.9205, 0.9204000000000001, 0.9224, 0.9193000000000001, 0.9189, 0.9184, 0.9195, 0.9201]",0:19:35.935387,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
