name,acc,total_time,freeze_degree
No Freeze,"[0.4329, 0.5151, 0.6928, 0.759, 0.7962, 0.7942, 0.8161, 0.8292, 0.8370000000000001, 0.8266, 0.8166, 0.8592, 0.8644, 0.8724, 0.8671, 0.8706999999999999, 0.8612000000000001, 0.8733, 0.8861, 0.8722, 0.8874, 0.8929, 0.8887, 0.8712000000000001, 0.8926999999999999, 0.8908, 0.8786, 0.9028, 0.8931, 0.8981999999999999, 0.8956000000000001, 0.8931, 0.9089, 0.9073, 0.9047, 0.9053, 0.8964, 0.91, 0.9079999999999999, 0.9066, 0.898, 0.9043000000000001, 0.9065000000000001, 0.912, 0.8992, 0.9118, 0.8979, 0.9109, 0.9148999999999999, 0.902, 0.9143000000000001, 0.9153, 0.9153, 0.9201, 0.9134, 0.9165000000000001, 0.9198000000000001, 0.9183, 0.9229, 0.9070999999999999, 0.9222, 0.9208, 0.9211, 0.9208, 0.9213, 0.9215000000000001, 0.9239, 0.9181, 0.9198000000000001, 0.9213, 0.9208, 0.9251999999999999, 0.9204000000000001, 0.9207, 0.9231999999999999, 0.9247, 0.9254000000000001, 0.9246, 0.9243000000000001, 0.9244, 0.9233, 0.9275, 0.9248999999999999, 0.9255, 0.9218000000000001, 0.9234, 0.9255, 0.9265000000000001, 0.9277, 0.9217, 0.9251, 0.9270999999999999, 0.9236, 0.9259000000000001, 0.9248999999999999, 0.9233, 0.9246, 0.9293, 0.9281999999999999, 0.9303]",,
Static (1/4),"[0.4329, 0.5151, 0.6928, 0.759, 0.7962, 0.7942, 0.8161, 0.8292, 0.8370000000000001, 0.8266, 0.8166, 0.8592, 0.8644, 0.8724, 0.8671, 0.8706999999999999, 0.8612000000000001, 0.8733, 0.8861, 0.8722, 0.8874, 0.8929, 0.8887, 0.8712000000000001, 0.8926999999999999, 0.8928, 0.9026000000000001, 0.8905, 0.897, 0.8978, 0.9028, 0.9020999999999999, 0.9005, 0.9062, 0.9027, 0.9081, 0.8959, 0.8929, 0.9066, 0.9052, 0.9076000000000001, 0.9052, 0.9112, 0.9134, 0.8931, 0.9140999999999999, 0.9127, 0.9145, 0.902, 0.9173, 0.9139, 0.9156, 0.9168000000000001, 0.9175, 0.9153, 0.9196, 0.9125, 0.9109999999999999, 0.914, 0.9145, 0.9187000000000001, 0.92, 0.9177, 0.919, 0.9168000000000001, 0.9181, 0.9201999999999999, 0.9189, 0.9129999999999999, 0.9196, 0.9239, 0.9190999999999999, 0.9206, 0.9198000000000001, 0.9187000000000001, 0.9198000000000001, 0.92, 0.9185, 0.9244, 0.9179, 0.9228000000000001, 0.9233, 0.9257, 0.9222, 0.9239, 0.9231, 0.9233, 0.9157, 0.9222, 0.9238, 0.922, 0.9237000000000001, 0.9225, 0.9238, 0.9246, 0.9259999999999999, 0.9268000000000001, 0.9245, 0.9261, 0.9238]",,
Static (1/2),"[0.4329, 0.5151, 0.6928, 0.759, 0.7962, 0.7942, 0.8161, 0.8292, 0.8370000000000001, 0.8266, 0.8166, 0.8592, 0.8644, 0.8724, 0.8671, 0.8706999999999999, 0.8612000000000001, 0.8733, 0.8861, 0.8722, 0.8874, 0.8929, 0.8887, 0.8712000000000001, 0.8926999999999999, 0.9136, 0.9041, 0.9056000000000001, 0.9059999999999999, 0.9078, 0.9107, 0.9055, 0.9081, 0.9065000000000001, 0.9043000000000001, 0.9079999999999999, 0.9091, 0.9004000000000001, 0.9044, 0.9096, 0.9053, 0.9106000000000001, 0.9105, 0.9020999999999999, 0.9011, 0.9151, 0.9176000000000001, 0.9111, 0.9157, 0.9179, 0.9148999999999999, 0.9126000000000001, 0.9159999999999999, 0.9109, 0.9048, 0.9156, 0.9175, 0.9196, 0.9129999999999999, 0.9145, 0.9179, 0.9175, 0.9151, 0.9209, 0.9195, 0.9179, 0.9072, 0.9165000000000001, 0.9146, 0.9183, 0.915, 0.9177, 0.9194, 0.9217, 0.9192, 0.9198999999999999, 0.9186, 0.9185, 0.9211, 0.9205, 0.9203, 0.9190999999999999, 0.9218000000000001, 0.9208, 0.9201999999999999, 0.9215000000000001, 0.9215000000000001, 0.9223, 0.9198000000000001, 0.9223, 0.922, 0.9181, 0.9208, 0.9212, 0.9217, 0.9248000000000001, 0.9214, 0.9211, 0.924, 0.9218999999999999]",,
Static (3/4),"[0.4329, 0.5151, 0.6928, 0.759, 0.7962, 0.7942, 0.8161, 0.8292, 0.8370000000000001, 0.8266, 0.8166, 0.8592, 0.8644, 0.8724, 0.8671, 0.8706999999999999, 0.8612000000000001, 0.8733, 0.8861, 0.8722, 0.8874, 0.8929, 0.8887, 0.8712000000000001, 0.8926999999999999, 0.9096, 0.9129, 0.9112, 0.9131999999999999, 0.9157, 0.9123, 0.9093000000000001, 0.9115000000000001, 0.9118, 0.9124, 0.9122, 0.9139, 0.9106000000000001, 0.9148000000000001, 0.9125, 0.9129999999999999, 0.915, 0.9131, 0.9140999999999999, 0.9129999999999999, 0.9118999999999999, 0.9131, 0.9137000000000001, 0.9155, 0.9147, 0.9129, 0.9137000000000001, 0.9113, 0.9179999999999999, 0.9172, 0.9125, 0.9168000000000001, 0.9153, 0.9129999999999999, 0.9116, 0.9147, 0.9154000000000001, 0.9148999999999999, 0.9151, 0.9172, 0.9181999999999999, 0.9159999999999999, 0.9154000000000001, 0.9131, 0.9181, 0.9179999999999999, 0.9164, 0.9177, 0.9179999999999999, 0.9163, 0.9144, 0.9140999999999999, 0.9168000000000001, 0.9159999999999999, 0.9168999999999999, 0.9185, 0.9145, 0.9165000000000001, 0.9193000000000001, 0.9174, 0.9161, 0.9208, 0.917, 0.9175, 0.9167000000000001, 0.9209, 0.9203, 0.9183, 0.9193000000000001, 0.9181, 0.9179, 0.9168999999999999, 0.9195, 0.9183, 0.9173]",,
Opp. Freeze,"[0.4329, 0.5151, 0.6928, 0.759, 0.7962, 0.7942, 0.8161, 0.8292, 0.8370000000000001, 0.8266, 0.8166, 0.8592, 0.8644, 0.8724, 0.8671, 0.8706999999999999, 0.8612000000000001, 0.8733, 0.8861, 0.8722, 0.8874, 0.8929, 0.8887, 0.8712000000000001, 0.8926999999999999, 0.9023, 0.8862000000000001, 0.8948999999999999, 0.8948999999999999, 0.8904000000000001, 0.8948999999999999, 0.8956000000000001, 0.9109, 0.9067000000000001, 0.9096, 0.9078, 0.9059999999999999, 0.9043000000000001, 0.909, 0.8879, 0.914, 0.9135, 0.9152, 0.9190999999999999, 0.9133, 0.9187000000000001, 0.9198999999999999, 0.9240999999999999, 0.919, 0.92, 0.9247, 0.9235, 0.9228000000000001, 0.9224, 0.9254000000000001, 0.9253, 0.9251, 0.9218999999999999, 0.9239, 0.9269, 0.9261, 0.9254000000000001, 0.9267, 0.9262, 0.924, 0.9254000000000001, 0.9240999999999999, 0.9259000000000001, 0.9261, 0.9248000000000001, 0.925, 0.9266, 0.9257, 0.9266, 0.9266, 0.9257, 0.9254000000000001, 0.9259999999999999, 0.9273, 0.9272, 0.9268000000000001, 0.9287000000000001, 0.9264, 0.9278, 0.9278, 0.9286, 0.9267, 0.9284, 0.9266, 0.9258, 0.9270999999999999, 0.9261, 0.9268000000000001, 0.9268000000000001, 0.9262, 0.9266, 0.927, 0.9272, 0.9269, 0.9272]",0:20:59.763541,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
