name,acc,total_time,freeze_degree
No Freeze,"[0.5209, 0.6596, 0.7339, 0.7775, 0.7645000000000001, 0.7837999999999999, 0.8081999999999999, 0.8109999999999999, 0.8183, 0.8314, 0.8222, 0.8528, 0.8515, 0.8484, 0.8604999999999999, 0.8547, 0.8549, 0.8617, 0.8703, 0.8741, 0.8751000000000001, 0.8658, 0.8744, 0.875, 0.8787, 0.8839, 0.8792, 0.8818, 0.8784000000000001, 0.8883, 0.8896, 0.8854000000000001, 0.8957999999999999, 0.8936, 0.888, 0.8887, 0.8972, 0.8981999999999999, 0.8894, 0.8878, 0.8984000000000001, 0.8964, 0.8815999999999999, 0.8922, 0.8981, 0.9013, 0.8981, 0.8987, 0.8952, 0.8996999999999999, 0.9041, 0.895, 0.8961, 0.8985, 0.8983, 0.9042, 0.9020999999999999, 0.9052, 0.9042, 0.904, 0.9027, 0.905, 0.903, 0.9037999999999999, 0.9053, 0.9068, 0.9084, 0.9068999999999999, 0.9027, 0.9093000000000001, 0.9084, 0.9084, 0.9054000000000001, 0.9068, 0.9070999999999999, 0.9079, 0.9014, 0.9051, 0.9031, 0.9118999999999999, 0.9097, 0.9098999999999999, 0.9093000000000001, 0.9117000000000001, 0.9107999999999999, 0.9093000000000001, 0.9129999999999999, 0.9114, 0.9109, 0.9154000000000001, 0.9081999999999999, 0.9126000000000001, 0.9106000000000001, 0.9126000000000001, 0.9143000000000001, 0.9126000000000001, 0.9176000000000001, 0.9147, 0.9131, 0.9106000000000001]",,
Static Freeze: 3 blocks,"[0.5209, 0.6596, 0.7339, 0.7775, 0.7645000000000001, 0.7837999999999999, 0.8081999999999999, 0.8109999999999999, 0.8183, 0.8314, 0.8456, 0.8522, 0.8527, 0.8534999999999999, 0.8623999999999999, 0.8518000000000001, 0.8715999999999999, 0.8704999999999999, 0.8753, 0.8436, 0.8593999999999999, 0.8731, 0.8758, 0.8698999999999999, 0.8713, 0.8776999999999999, 0.8791, 0.873, 0.8835999999999999, 0.8751000000000001, 0.882, 0.8851, 0.8813, 0.8848, 0.8864, 0.8776999999999999, 0.8814, 0.889, 0.89, 0.8881999999999999, 0.8898, 0.8868, 0.8874, 0.8969, 0.8862000000000001, 0.8869, 0.8835, 0.8905, 0.8893000000000001, 0.8981, 0.8957999999999999, 0.8967, 0.8979, 0.8969, 0.8946999999999999, 0.8941, 0.9036, 0.9002, 0.8968, 0.8996999999999999, 0.9026000000000001, 0.8989, 0.8974, 0.8992, 0.8978, 0.8987, 0.9, 0.9002, 0.897, 0.8987999999999999, 0.9041, 0.8981, 0.9018, 0.9003, 0.9041, 0.9025, 0.9062, 0.9024, 0.9079999999999999, 0.9031, 0.9031999999999999, 0.9009999999999999, 0.9053, 0.9009, 0.907, 0.9031999999999999, 0.9037000000000001, 0.9015000000000001, 0.9061, 0.9054000000000001, 0.9035, 0.9048, 0.9077, 0.9053, 0.9081, 0.9085, 0.9035, 0.9074, 0.9057999999999999, 0.9064]",,
Static Freeze: 6 blocks,"[0.5209, 0.6596, 0.7339, 0.7775, 0.7645000000000001, 0.7837999999999999, 0.8081999999999999, 0.8109999999999999, 0.8183, 0.8314, 0.8493999999999999, 0.8556999999999999, 0.8523000000000001, 0.8576, 0.855, 0.8629000000000001, 0.8643000000000001, 0.856, 0.8634999999999999, 0.8631, 0.8712000000000001, 0.8637, 0.866, 0.8734999999999999, 0.8775, 0.8801000000000001, 0.871, 0.882, 0.8804000000000001, 0.8774, 0.8791, 0.8819, 0.8771, 0.8824, 0.8773000000000001, 0.8852, 0.873, 0.875, 0.8835999999999999, 0.884, 0.8841, 0.8825, 0.8832, 0.8856, 0.8808, 0.8756, 0.888, 0.8891, 0.8862000000000001, 0.8835, 0.8911, 0.8964, 0.889, 0.8864, 0.8931, 0.8845999999999999, 0.8924, 0.8867, 0.8884000000000001, 0.8887, 0.8887999999999999, 0.8933, 0.8937999999999999, 0.8951, 0.8926000000000001, 0.8893000000000001, 0.8916, 0.8891, 0.8851, 0.8933, 0.8905, 0.8881, 0.8901, 0.8961, 0.8979, 0.8998, 0.8966, 0.8963, 0.8909999999999999, 0.892, 0.89, 0.8955, 0.8962, 0.8931999999999999, 0.8959, 0.8939, 0.8953, 0.8909999999999999, 0.8981, 0.8959999999999999, 0.9001, 0.8981, 0.897, 0.8961, 0.8967, 0.8956000000000001, 0.8972, 0.8991, 0.8959999999999999, 0.8969]",,
Static Freeze: 9 blocks,"[0.5209, 0.6596, 0.7339, 0.7775, 0.7645000000000001, 0.7837999999999999, 0.8081999999999999, 0.8109999999999999, 0.8183, 0.8314, 0.8576, 0.8573000000000001, 0.8528, 0.858, 0.8604999999999999, 0.8606999999999999, 0.8661, 0.8587, 0.863, 0.8691, 0.8692, 0.8598, 0.8645999999999999, 0.8776, 0.8732, 0.873, 0.8734999999999999, 0.8712000000000001, 0.8673000000000001, 0.8643000000000001, 0.8687, 0.8767, 0.8776999999999999, 0.8765999999999999, 0.8765000000000001, 0.8806, 0.8744, 0.8817, 0.8779, 0.8798999999999999, 0.8795000000000001, 0.88, 0.8742, 0.8791, 0.8756999999999999, 0.8806999999999999, 0.8812000000000001, 0.8826999999999999, 0.8814, 0.8787999999999999, 0.8798999999999999, 0.8765000000000001, 0.882, 0.8769, 0.885, 0.8763, 0.8822, 0.8789, 0.8859999999999999, 0.8826, 0.8835999999999999, 0.8852, 0.8865000000000001, 0.8881999999999999, 0.8798999999999999, 0.8859, 0.8815999999999999, 0.8826, 0.8818, 0.8782, 0.884, 0.8845999999999999, 0.8867, 0.8922, 0.8859999999999999, 0.8916, 0.8889, 0.8867, 0.89, 0.8881, 0.8876000000000001, 0.8864, 0.8865000000000001, 0.8859, 0.8886, 0.8848999999999999, 0.8889, 0.8873000000000001, 0.8862000000000001, 0.8858, 0.8924, 0.8901, 0.8913, 0.8901, 0.8870999999999999, 0.8904000000000001, 0.8931, 0.8919, 0.8912, 0.8909999999999999]",,
Gradually Freezing,"[0.5209, 0.6596, 0.7339, 0.7775, 0.7645000000000001, 0.7837999999999999, 0.8081999999999999, 0.8109999999999999, 0.8183, 0.8314, 0.8411, 0.8482, 0.8473, 0.8441, 0.8632, 0.87, 0.8701000000000001, 0.8531, 0.8743000000000001, 0.8748999999999999, 0.8661, 0.8723000000000001, 0.8823000000000001, 0.8778, 0.8822, 0.8706999999999999, 0.8855, 0.884, 0.8797, 0.8808, 0.8865000000000001, 0.888, 0.8898999999999999, 0.8787, 0.8822, 0.8872, 0.8909999999999999, 0.8809, 0.8918, 0.8948999999999999, 0.8959999999999999, 0.8961, 0.8916, 0.8925, 0.8867, 0.895, 0.8945000000000001, 0.8976000000000001, 0.895, 0.8902, 0.9012, 0.8998, 0.8992, 0.9013, 0.9031999999999999, 0.9026000000000001, 0.9020999999999999, 0.9012, 0.9009999999999999, 0.8996999999999999, 0.9054000000000001, 0.9052, 0.9022, 0.9031, 0.9052, 0.9061, 0.9044, 0.9042, 0.9065000000000001, 0.904, 0.9089, 0.9074, 0.9043000000000001, 0.9036, 0.9057, 0.9078, 0.9074, 0.905, 0.9075, 0.9074, 0.9075, 0.9084, 0.9066, 0.9084, 0.9091, 0.9097, 0.9098, 0.9098, 0.9103, 0.9111, 0.9083, 0.909, 0.909, 0.9093000000000001, 0.9091, 0.9111, 0.9105, 0.9098999999999999, 0.9114, 0.9113]",0:27:53.903724,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 13, 13, 13, 13, 13, 14, 14, 14, 14, 14, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
