name,acc,total_time,freeze_degree
No Freeze,"[0.5291, 0.6746, 0.7075, 0.7565000000000001, 0.7728, 0.8094, 0.7959999999999999, 0.8194, 0.8325, 0.8321999999999999, 0.841, 0.8420000000000001, 0.8615, 0.8529000000000001, 0.8615999999999999, 0.8762000000000001, 0.8737999999999999, 0.8667, 0.8798999999999999, 0.8743000000000001, 0.8694, 0.8837, 0.8826, 0.8787, 0.8828, 0.8819, 0.8755, 0.8931, 0.8748, 0.8868, 0.8891, 0.8908, 0.8919, 0.8839, 0.8845000000000001, 0.8906000000000001, 0.8998, 0.8848999999999999, 0.8961, 0.8885, 0.894, 0.8966, 0.8959999999999999, 0.8972, 0.8995000000000001, 0.8976000000000001, 0.8965000000000001, 0.9002, 0.8976999999999999, 0.9002, 0.9007999999999999, 0.9037000000000001, 0.9039, 0.9056000000000001, 0.8957999999999999, 0.9068999999999999, 0.8967, 0.9052, 0.9051, 0.9065000000000001, 0.9007, 0.9014, 0.9016, 0.9031, 0.9045000000000001, 0.9057999999999999, 0.9029, 0.9043000000000001, 0.9067000000000001, 0.9031, 0.9079, 0.9024, 0.9074, 0.9063, 0.9073, 0.9063, 0.909, 0.9087999999999999, 0.9035, 0.9073, 0.9079999999999999, 0.9079999999999999, 0.9103, 0.9116, 0.9092, 0.9117000000000001, 0.912, 0.9084, 0.9086, 0.9107, 0.9126000000000001, 0.9077, 0.9091, 0.9081999999999999, 0.9139, 0.9158, 0.9159999999999999, 0.9125, 0.9124, 0.9140999999999999]",,
Static Freeze: 3 blocks,"[0.5291, 0.6746, 0.7075, 0.7565000000000001, 0.7728, 0.8094, 0.7959999999999999, 0.8194, 0.8325, 0.8321999999999999, 0.841, 0.8420000000000001, 0.8615, 0.8529000000000001, 0.8615999999999999, 0.8762000000000001, 0.8737999999999999, 0.8667, 0.8798999999999999, 0.8743000000000001, 0.8694, 0.8837, 0.8826, 0.8787, 0.8828, 0.8896999999999999, 0.8692, 0.8819, 0.8852, 0.8914, 0.8829, 0.8856999999999999, 0.8847, 0.8896999999999999, 0.8916, 0.889, 0.8855, 0.8946, 0.8765999999999999, 0.8987999999999999, 0.8898, 0.8991, 0.8884000000000001, 0.8937999999999999, 0.8939, 0.8970999999999999, 0.8965000000000001, 0.8973, 0.8991, 0.8954000000000001, 0.898, 0.902, 0.8901, 0.8985, 0.9012, 0.8992, 0.9022, 0.8985, 0.9014, 0.8978, 0.9020999999999999, 0.9029, 0.8973, 0.9068, 0.8996999999999999, 0.9047, 0.8978, 0.9014, 0.9065000000000001, 0.9068, 0.9056000000000001, 0.8992, 0.8944, 0.9034, 0.9037999999999999, 0.9068, 0.9044, 0.9025, 0.9077, 0.9086, 0.9057999999999999, 0.9072, 0.9045000000000001, 0.9115000000000001, 0.9066, 0.9044, 0.9055, 0.9083, 0.9103, 0.909, 0.9077, 0.9089, 0.9070999999999999, 0.9076000000000001, 0.9118, 0.9070999999999999, 0.9123, 0.9128000000000001, 0.9115000000000001, 0.9104000000000001]",,
Static Freeze: 6 blocks,"[0.5291, 0.6746, 0.7075, 0.7565000000000001, 0.7728, 0.8094, 0.7959999999999999, 0.8194, 0.8325, 0.8321999999999999, 0.841, 0.8420000000000001, 0.8615, 0.8529000000000001, 0.8615999999999999, 0.8762000000000001, 0.8737999999999999, 0.8667, 0.8798999999999999, 0.8743000000000001, 0.8694, 0.8837, 0.8826, 0.8787, 0.8828, 0.8911, 0.8906000000000001, 0.89, 0.8901, 0.8926000000000001, 0.8817, 0.8826, 0.8946999999999999, 0.8961, 0.8895000000000001, 0.8956000000000001, 0.8975, 0.8903, 0.8916, 0.8993000000000001, 0.8902, 0.8926000000000001, 0.8975, 0.8873000000000001, 0.8962, 0.893, 0.8944, 0.9022, 0.8926999999999999, 0.8978, 0.8986, 0.8946999999999999, 0.8966, 0.8963, 0.8955, 0.8957999999999999, 0.9031999999999999, 0.8998999999999999, 0.8976000000000001, 0.9031999999999999, 0.9042, 0.899, 0.9016, 0.8946, 0.8993000000000001, 0.9028, 0.9026000000000001, 0.9009, 0.8983, 0.9018, 0.902, 0.9009999999999999, 0.9006000000000001, 0.9020999999999999, 0.9020999999999999, 0.9037000000000001, 0.9048, 0.9031, 0.9052, 0.9057, 0.9, 0.9059999999999999, 0.9075, 0.9077, 0.9017000000000001, 0.9068999999999999, 0.904, 0.9018999999999999, 0.9043000000000001, 0.9051, 0.9067000000000001, 0.9062, 0.9067000000000001, 0.9084, 0.9083, 0.9063, 0.9035, 0.9054000000000001, 0.9041, 0.9087999999999999]",,
Static Freeze: 9 blocks,"[0.5291, 0.6746, 0.7075, 0.7565000000000001, 0.7728, 0.8094, 0.7959999999999999, 0.8194, 0.8325, 0.8321999999999999, 0.841, 0.8420000000000001, 0.8615, 0.8529000000000001, 0.8615999999999999, 0.8762000000000001, 0.8737999999999999, 0.8667, 0.8798999999999999, 0.8743000000000001, 0.8694, 0.8837, 0.8826, 0.8787, 0.8828, 0.8798999999999999, 0.8904000000000001, 0.8876999999999999, 0.8896, 0.8923000000000001, 0.8914, 0.8869, 0.8946999999999999, 0.8909, 0.8966, 0.8913, 0.8995000000000001, 0.8937, 0.8909, 0.8893000000000001, 0.8944, 0.8902, 0.8937999999999999, 0.8895000000000001, 0.8870999999999999, 0.8939, 0.8931999999999999, 0.8987, 0.8937999999999999, 0.893, 0.8937999999999999, 0.8983, 0.8979, 0.8944, 0.8976000000000001, 0.8953, 0.8994, 0.8966, 0.8987999999999999, 0.9013, 0.9007999999999999, 0.8972, 0.9001, 0.8956000000000001, 0.8979, 0.8996, 0.8992, 0.8994, 0.9018, 0.9041, 0.8991, 0.9018999999999999, 0.8986, 0.9009, 0.899, 0.9044, 0.8983, 0.8981999999999999, 0.9006000000000001, 0.9039, 0.9025, 0.9025, 0.9035, 0.902, 0.9018999999999999, 0.9029, 0.9045000000000001, 0.9009, 0.8965000000000001, 0.9024, 0.9031, 0.9018999999999999, 0.9023, 0.9035, 0.9020999999999999, 0.9020999999999999, 0.9029, 0.9014, 0.9024, 0.9046]",,
Gradually Freezing,"[0.5291, 0.6746, 0.7075, 0.7565000000000001, 0.7728, 0.8094, 0.7959999999999999, 0.8194, 0.8325, 0.8321999999999999, 0.841, 0.8420000000000001, 0.8615, 0.8529000000000001, 0.8615999999999999, 0.8762000000000001, 0.8737999999999999, 0.8667, 0.8798999999999999, 0.8743000000000001, 0.8694, 0.8837, 0.8826, 0.8787, 0.8828, 0.8811, 0.8855, 0.8865999999999999, 0.8879, 0.8668, 0.8819, 0.8896999999999999, 0.8911, 0.8937999999999999, 0.8937, 0.8829, 0.8845999999999999, 0.8957999999999999, 0.8924, 0.8998999999999999, 0.8964, 0.8931, 0.9025, 0.8942, 0.8937, 0.8991, 0.8973, 0.8975, 0.9023, 0.8994, 0.9020999999999999, 0.8972, 0.9031999999999999, 0.8998, 0.9028, 0.8993000000000001, 0.9025, 0.9048, 0.9018, 0.9018, 0.9087000000000001, 0.9064, 0.8951, 0.9068999999999999, 0.9065000000000001, 0.9034, 0.9107999999999999, 0.9129, 0.9059999999999999, 0.9076000000000001, 0.9094, 0.905, 0.9138, 0.9106000000000001, 0.9139, 0.9129999999999999, 0.909, 0.9117000000000001, 0.9098, 0.9114, 0.9107, 0.914, 0.9139, 0.9145, 0.9118999999999999, 0.9098999999999999, 0.9153, 0.9138, 0.9162, 0.9147, 0.9145, 0.9153, 0.9177, 0.9170999999999999, 0.9154000000000001, 0.9154000000000001, 0.9166, 0.9174, 0.9158, 0.9174]",0:29:46.836558,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 13, 13, 13, 13, 13, 14, 14, 14, 14]"
