freq, name,acc,total_time,transmission_time,transmission_volume,transmission_volume_readable,transmission_volume_history,speedup_ratio,speedup_trans_ratio
5,"Baseline","[0.1, 0.40299999999999997, 0.5976, 0.65, 0.7165, 0.7463, 0.7659, 0.7978000000000001, 0.8148000000000001, 0.8294, 0.8458, 0.8503000000000001, 0.8559, 0.8603000000000001, 0.8702, 0.8795999999999999, 0.8712000000000001, 0.8920999999999999, 0.8898, 0.8939]",933.063215,633.690408,30393176640,3.5382 GB,"[1787833920, 3575667840, 5363501760, 7151335680, 8939169600, 10727003520, 12514837440, 14302671360, 16090505280, 17878339200, 19666173120, 21454007040, 23241840960, 25029674880, 26817508800, 28605342720, 30393176640]",1.0,1.0
5,"Layer Freezing w/ PCME","[0.1, 0.40299999999999997, 0.5976, 0.6748999999999999, 0.7058, 0.7223999999999999, 0.7505, 0.7418, 0.7983, 0.7963, 0.7990999999999999, 0.8098000000000001, 0.7718, 0.7978000000000001, 0.813, 0.8029999999999999, 0.8177, 0.8069, 0.8161, 0.7937000000000001]",706.995841,457.142651,25494319680,2.9679 GB,"[1787833920, 3575667840, 5351664320, 7127660800, 8891819840, 10655978880, 12383314880, 14110650880, 15790719040, 17470787200, 19003808960, 20536830720, 21880944960, 23225059200, 23981479360, 24737899520, 25494319680]",1.3197577141051384,1.3861983925888377
1,Baseline: No Freeze,"[0.1209, 0.2121, 0.3544, 0.39890000000000003, 0.4146, 0.42969999999999997, 0.4637, 0.5474, 0.5720000000000001, 0.4661, 0.6332, 0.6494, 0.6573, 0.5722999999999999, 0.6899, 0.6846, 0.6769, 0.6801, 0.7184, 0.7165, 0.5891, 0.7351000000000001, 0.7228, 0.7793000000000001, 0.7822, 0.7574, 0.7767000000000001, 0.7855, 0.8101999999999999, 0.7559999999999999, 0.802, 0.7848, 0.7916, 0.7957, 0.8220000000000001, 0.8029000000000001, 0.8331000000000001, 0.7704000000000001, 0.8364, 0.825, 0.8131, 0.8315, 0.8347, 0.8436, 0.8482, 0.8293, 0.8490000000000001, 0.8588, 0.8262, 0.8652, 0.8693000000000001, 0.8515, 0.8714, 0.8425, 0.8512000000000001, 0.8562000000000001, 0.8718, 0.8644, 0.8713, 0.8755, 0.8774, 0.8597, 0.8823000000000001, 0.8659, 0.8775, 0.8795000000000001, 0.8806, 0.8808, 0.8504, 0.8898, 0.8805, 0.8706999999999999, 0.8837, 0.8864, 0.8787, 0.8728, 0.8715, 0.8731, 0.8883, 0.8981, 0.8967, 0.8943000000000001, 0.8992, 0.893, 0.8885, 0.8714, 0.8909999999999999, 0.8891, 0.8656999999999999, 0.9013, 0.8962, 0.8929, 0.899, 0.9005, 0.8892, 0.8725, 0.8916, 0.9016, 0.8912, 0.8941]",3263.095119,2958.961972,151965883200,17.6912 GB,"[1787833920, 3575667840, 5363501760, 7151335680, 8939169600, 10727003520, 12514837440, 14302671360, 16090505280, 17878339200, 19666173120, 21454007040, 23241840960, 25029674880, 26817508800, 28605342720, 30393176640, 32181010560, 33968844480, 35756678400, 37544512320, 39332346240, 41120180160, 42908014080, 44695848000, 46483681920, 48271515840, 50059349760, 51847183680, 53635017600, 55422851520, 57210685440, 58998519360, 60786353280, 62574187200, 64362021120, 66149855040, 67937688960, 69725522880, 71513356800, 73301190720, 75089024640, 76876858560, 78664692480, 80452526400, 82240360320, 84028194240, 85816028160, 87603862080, 89391696000, 91179529920, 92967363840, 94755197760, 96543031680, 98330865600, 100118699520, 101906533440, 103694367360, 105482201280, 107270035200, 109057869120, 110845703040, 112633536960, 114421370880, 116209204800, 117997038720, 119784872640, 121572706560, 123360540480, 125148374400, 126936208320, 128724042240, 130511876160, 132299710080, 134087544000, 135875377920, 137663211840, 139451045760, 141238879680, 143026713600, 144814547520, 146602381440, 148390215360, 150178049280, 151965883200]",1.0,1.0
1,Gradually Freezing: Primary Model,"[0.1209, 0.2121, 0.3544, 0.39890000000000003, 0.4146, 0.42969999999999997, 0.4637, 0.5474, 0.5720000000000001, 0.4661, 0.6332, 0.6494, 0.6573, 0.5722999999999999, 0.6899, 0.6748999999999999, 0.6889, 0.7248, 0.7051999999999999, 0.7481, 0.6673, 0.7695000000000001, 0.7687, 0.7752, 0.7718, 0.7545999999999999, 0.8076000000000001, 0.8016, 0.7795000000000001, 0.7807, 0.772, 0.8092, 0.8072, 0.8301000000000001, 0.8148000000000001, 0.8027, 0.7922, 0.8186, 0.8353, 0.8434, 0.8262, 0.8498, 0.8240999999999999, 0.8331999999999999, 0.8545, 0.8405, 0.8568000000000001, 0.8406999999999999, 0.8479000000000001, 0.8253, 0.8517, 0.8569, 0.8492000000000001, 0.8591, 0.8569, 0.8338, 0.852, 0.866, 0.8708, 0.8522, 0.862, 0.8711, 0.867, 0.8484, 0.8522, 0.8432, 0.8732, 0.8665999999999999, 0.8668, 0.8675, 0.8740000000000001, 0.8665, 0.8815999999999999, 0.8697, 0.8782, 0.8748999999999999, 0.8824, 0.8826999999999999, 0.8815000000000001, 0.8813, 0.8748, 0.8706999999999999, 0.8768, 0.8819, 0.8865000000000001, 0.8832, 0.8881999999999999, 0.8835, 0.8856999999999999, 0.8844, 0.8870999999999999, 0.8874, 0.8842, 0.8858, 0.8848999999999999, 0.8863, 0.8814, 0.8839, 0.8736, 0.8837]",2788.930649,2525.385585,128503012160,14.9597 GB,"[1787833920, 3575667840, 5363501760, 7151335680, 8939169600, 10727003520, 12514837440, 14302671360, 16090505280, 17878339200, 19666173120, 21442169600, 23218166080, 24994162560, 26770159040, 28546155520, 30322152000, 32098148480, 33874144960, 35650141440, 37426137920, 39190296960, 40954456000, 42718615040, 44482774080, 46246933120, 48011092160, 49775251200, 51539410240, 53303569280, 55067728320, 56795064320, 58522400320, 60249736320, 61977072320, 63704408320, 65431744320, 67159080320, 68886416320, 70613752320, 72341088320, 74021156480, 75701224640, 77381292800, 79061360960, 80741429120, 82421497280, 84101565440, 85781633600, 87461701760, 89141769920, 90674791680, 92207813440, 93740835200, 95273856960, 96806878720, 98339900480, 99872922240, 101405944000, 102938965760, 104471987520, 105816101760, 107160216000, 108504330240, 109848444480, 111192558720, 112536672960, 113880787200, 115224901440, 116569015680, 117913129920, 118669550080, 119425970240, 120182390400, 120938810560, 121695230720, 122451650880, 123208071040, 123964491200, 124720911360, 125477331520, 126233751680, 126990171840, 127746592000, 128503012160]",1.1700165868843015,1.1716872027682854
