freq,name,acc,total_time,transmission_time,transmission_volume,transmission_volume_readable,transmission_volume_history,speedup_ratio,speedup_trans_ratio
5,Baseline: No Freeze,"[0.1125, 0.2379, 0.3629, 0.4658, 0.5267000000000001, 0.5884, 0.6445000000000001, 0.6888, 0.691, 0.7226, 0.7415, 0.7603, 0.7686, 0.7734000000000001, 0.7737, 0.7959, 0.7976000000000001, 0.8006, 0.8115000000000001, 0.8062]",434.832844,168.072168,8750854720,1.0187 GB,"[514756160, 1029512320, 1544268480, 2059024640, 2573780800, 3088536960, 3603293120, 4118049280, 4632805440, 5147561600, 5662317760, 6177073920, 6691830080, 7206586240, 7721342400, 8236098560, 8750854720]",1.0,1.0
5,Gradually Freezing: Primary Model,"[0.1125, 0.2379, 0.3629, 0.4731, 0.5068, 0.6011, 0.6487, 0.6674, 0.6886, 0.6912999999999999, 0.7056999999999999, 0.7140000000000001, 0.7243999999999999, 0.723, 0.7234, 0.7319, 0.7343999999999999, 0.7362000000000001, 0.7326, 0.7336]",420.436052,158.066767,8286946880,987.8811 MB,"[514756160, 1029512320, 1543864000, 2058215680, 2571103040, 3083990400, 3593990080, 4103989760, 4608439360, 5112888960, 5606320320, 6099751680, 6571597120, 7043442560, 7472280000, 7901117440, 8286946880]",1.0342425249488358,1.0632985743296692
1,Baseline: No Freeze,"[0.09880000000000001, 0.182, 0.2439, 0.3356, 0.33409999999999995, 0.38549999999999995, 0.4189, 0.4299, 0.4558, 0.48479999999999995, 0.4792, 0.4877, 0.5117, 0.5295000000000001, 0.5445, 0.5457, 0.573, 0.5457, 0.6021, 0.613, 0.6158, 0.6292, 0.6329, 0.6404000000000001, 0.6376, 0.6509, 0.6648000000000001, 0.6767, 0.6844, 0.691, 0.6925, 0.6995999999999999, 0.7176, 0.7176, 0.7201000000000001, 0.7338, 0.7295, 0.7293000000000001, 0.741, 0.7352, 0.7454999999999999, 0.7326, 0.7476, 0.7514, 0.7508, 0.7584000000000001, 0.7635, 0.7665000000000001, 0.7720999999999999, 0.7615999999999999, 0.768, 0.7817000000000001, 0.7822, 0.7775, 0.7798, 0.792, 0.7879999999999999, 0.7775, 0.7926000000000001, 0.7801, 0.7934, 0.8019, 0.7976000000000001, 0.7970999999999999, 0.7992, 0.7945, 0.7959, 0.8012, 0.8027, 0.7989, 0.8037000000000001, 0.8059000000000001, 0.8081999999999999, 0.809, 0.807, 0.7986, 0.7977, 0.8137000000000001, 0.8123, 0.8142, 0.8131, 0.8189, 0.8131, 0.821, 0.8166, 0.8181999999999999, 0.8225, 0.8177, 0.8203, 0.8170000000000001, 0.8222, 0.8187000000000001, 0.8190000000000001, 0.8212999999999999, 0.8283, 0.8234, 0.8194, 0.8218000000000001, 0.8294, 0.8264]",1114.128707,847.453368,43754273600,5.0937 GB,"[514756160, 1029512320, 1544268480, 2059024640, 2573780800, 3088536960, 3603293120, 4118049280, 4632805440, 5147561600, 5662317760, 6177073920, 6691830080, 7206586240, 7721342400, 8236098560, 8750854720, 9265610880, 9780367040, 10295123200, 10809879360, 11324635520, 11839391680, 12354147840, 12868904000, 13383660160, 13898416320, 14413172480, 14927928640, 15442684800, 15957440960, 16472197120, 16986953280, 17501709440, 18016465600, 18531221760, 19045977920, 19560734080, 20075490240, 20590246400, 21105002560, 21619758720, 22134514880, 22649271040, 23164027200, 23678783360, 24193539520, 24708295680, 25223051840, 25737808000, 26252564160, 26767320320, 27282076480, 27796832640, 28311588800, 28826344960, 29341101120, 29855857280, 30370613440, 30885369600, 31400125760, 31914881920, 32429638080, 32944394240, 33459150400, 33973906560, 34488662720, 35003418880, 35518175040, 36032931200, 36547687360, 37062443520, 37577199680, 38091955840, 38606712000, 39121468160, 39636224320, 40150980480, 40665736640, 41180492800, 41695248960, 42210005120, 42724761280, 43239517440, 43754273600]",1.0,1.0
1,Gradually Freezing: Primary Model,"[0.09880000000000001, 0.182, 0.2439, 0.3356, 0.33409999999999995, 0.38549999999999995, 0.4189, 0.4299, 0.4558, 0.48479999999999995, 0.4792, 0.4877, 0.5117, 0.5295000000000001, 0.5445, 0.5413, 0.5724, 0.579, 0.5832999999999999, 0.5982999999999999, 0.6093999999999999, 0.6246, 0.6235, 0.6469, 0.6436, 0.6640999999999999, 0.6738, 0.6726000000000001, 0.6812999999999999, 0.6934999999999999, 0.693, 0.6960999999999999, 0.6978, 0.7129000000000001, 0.7182, 0.7193, 0.728, 0.7318000000000001, 0.7313, 0.7456999999999999, 0.7456999999999999, 0.7393000000000001, 0.7441, 0.7469, 0.7551000000000001, 0.755, 0.7579, 0.7559999999999999, 0.7598999999999999, 0.7603, 0.7595999999999999, 0.7678, 0.7633, 0.7664, 0.7644, 0.7702, 0.7709999999999999, 0.7701, 0.7731, 0.778, 0.7654000000000001, 0.7741, 0.7787999999999999, 0.775, 0.7765000000000001, 0.7789, 0.7765000000000001, 0.7798999999999999, 0.7764, 0.7754000000000001, 0.7816, 0.7813, 0.7803, 0.7857, 0.787, 0.7848, 0.7872, 0.784, 0.7896, 0.7889, 0.7862, 0.7886, 0.7898999999999999, 0.7844, 0.7878000000000001, 0.7867000000000001, 0.7854000000000001, 0.7914, 0.7907, 0.7889, 0.7902, 0.7881999999999999, 0.7879999999999999, 0.7855, 0.7877, 0.7870999999999999, 0.7896, 0.7889, 0.795, 0.7845]",1002.589673,809.953793,41563661120,4.8386 GB,"[514756160, 1029512320, 1544268480, 2059024640, 2573780800, 3088536960, 3603293120, 4118049280, 4632805440, 5147561600, 5662317760, 6176669440, 6691021120, 7205372800, 7719724480, 8234076160, 8748427840, 9262779520, 9777131200, 10291482880, 10805834560, 11318721920, 11831609280, 12344496640, 12857384000, 13370271360, 13883158720, 14396046080, 14908933440, 15421820800, 15934708160, 16444707840, 16954707520, 17464707200, 17974706880, 18484706560, 18994706240, 19504705920, 20014705600, 20524705280, 21034704960, 21539154560, 22043604160, 22548053760, 23052503360, 23556952960, 24061402560, 24565852160, 25070301760, 25574751360, 26079200960, 26572632320, 27066063680, 27559495040, 28052926400, 28546357760, 29039789120, 29533220480, 30026651840, 30520083200, 31013514560, 31485360000, 31957205440, 32429050880, 32900896320, 33372741760, 33844587200, 34316432640, 34788278080, 35260123520, 35731968960, 36160806400, 36589643840, 37018481280, 37447318720, 37876156160, 38304993600, 38733831040, 39162668480, 39591505920, 40020343360, 40406172800, 40792002240, 41177831680, 41563661120]",1.1112509304691394,1.0462984127293296
