name,acc,total_time,total_trainable_params,transmission_time,transmission_volume,transmission_volume_readable,transmission_volume_history,speedup_ratio,speedup_trans_ratio
Baseline: No Freeze,"[0.1, 0.1726, 0.22399999999999998, 0.26489999999999997, 0.25489999999999996, 0.2969, 0.39020000000000005, 0.34979999999999994, 0.3362, 0.3414, 0.4645, 0.3714, 0.3824, 0.3418, 0.4241, 0.45799999999999996, 0.4339, 0.5104, 0.5489, 0.5203, 0.55, 0.4763, 0.5328, 0.5431, 0.5527000000000001, 0.5106, 0.5889, 0.5999, 0.5698, 0.626, 0.5661999999999999, 0.591, 0.6284000000000001, 0.6045, 0.6314, 0.6033, 0.6586, 0.5867, 0.6446, 0.6375, 0.5818, 0.6592, 0.6595, 0.6812, 0.6112, 0.6606000000000001, 0.6003000000000001, 0.6934999999999999, 0.6787000000000001, 0.6840999999999999, 0.6568999999999999, 0.6567000000000001, 0.7273000000000001, 0.6805, 0.7240000000000001, 0.6727, 0.7131000000000001, 0.688, 0.6964, 0.7014, 0.7456999999999999, 0.6761, 0.6881, 0.7471, 0.7069, 0.7045999999999999, 0.7441, 0.7502, 0.7503, 0.7028, 0.7240000000000001, 0.7295, 0.7805, 0.7637999999999999, 0.7513, 0.7612000000000001, 0.7317, 0.7646, 0.7611, 0.6917, 0.7582, 0.6993, 0.7476999999999999, 0.7587999999999999, 0.7651, 0.7323999999999999, 0.7518, 0.7779, 0.7669, 0.713, 0.7504000000000001, 0.7831, 0.7854000000000001, 0.7759999999999999, 0.7712, 0.7511, 0.7494, 0.7601, 0.769, 0.7512000000000001]",1106.351382,,836.3226,43754273600,5.0937 GB,"[514756160, 1029512320, 1544268480, 2059024640, 2573780800, 3088536960, 3603293120, 4118049280, 4632805440, 5147561600, 5662317760, 6177073920, 6691830080, 7206586240, 7721342400, 8236098560, 8750854720, 9265610880, 9780367040, 10295123200, 10809879360, 11324635520, 11839391680, 12354147840, 12868904000, 13383660160, 13898416320, 14413172480, 14927928640, 15442684800, 15957440960, 16472197120, 16986953280, 17501709440, 18016465600, 18531221760, 19045977920, 19560734080, 20075490240, 20590246400, 21105002560, 21619758720, 22134514880, 22649271040, 23164027200, 23678783360, 24193539520, 24708295680, 25223051840, 25737808000, 26252564160, 26767320320, 27282076480, 27796832640, 28311588800, 28826344960, 29341101120, 29855857280, 30370613440, 30885369600, 31400125760, 31914881920, 32429638080, 32944394240, 33459150400, 33973906560, 34488662720, 35003418880, 35518175040, 36032931200, 36547687360, 37062443520, 37577199680, 38091955840, 38606712000, 39121468160, 39636224320, 40150980480, 40665736640, 41180492800, 41695248960, 42210005120, 42724761280, 43239517440, 43754273600]",1.0,1.0
Gradually Freezing: Primary Model,"[0.1, 0.1726, 0.22399999999999998, 0.26489999999999997, 0.25489999999999996, 0.2969, 0.39020000000000005, 0.34979999999999994, 0.3362, 0.3414, 0.4645, 0.3714, 0.3824, 0.3418, 0.4241, 0.45840000000000003, 0.4349, 0.506, 0.5253, 0.5201, 0.5064, 0.4978, 0.5396, 0.5509000000000001, 0.5543, 0.46240000000000003, 0.5068, 0.5820000000000001, 0.5757, 0.5426, 0.5511, 0.5982, 0.5782, 0.6058, 0.6149, 0.6285000000000001, 0.6021, 0.6033, 0.6448, 0.6353, 0.6493000000000001, 0.6661, 0.6970000000000001, 0.6840999999999999, 0.7075, 0.662, 0.6709999999999999, 0.6796, 0.6575, 0.6842, 0.6931999999999999, 0.6861, 0.6598999999999999, 0.6949, 0.6795, 0.677, 0.7067, 0.7036, 0.6990000000000001, 0.7055, 0.7051999999999999, 0.7123, 0.6947, 0.7162999999999999, 0.6977, 0.7199, 0.7304999999999999, 0.7108, 0.7015, 0.7222, 0.7147, 0.7171, 0.7184999999999999, 0.7209, 0.6906, 0.7278, 0.7256, 0.6876000000000001, 0.7219, 0.721, 0.7269, 0.7172, 0.7101999999999999, 0.726, 0.7129000000000001, 0.7132, 0.7088, 0.7336, 0.705, 0.7012, 0.7284999999999999, 0.7168000000000001, 0.7128, 0.6915, 0.7168000000000001, 0.7139, 0.7175, 0.7193, 0.742, 0.7445999999999999]",1008.203956,1185581210,747.833954,37938598720,4.4166 GB,"[514756160, 1029512320, 1544268480, 2059024640, 2573780800, 3088536960, 3603293120, 4118049280, 4632805440, 5147157120, 5661508800, 6175860480, 6690212160, 7204563840, 7718915520, 8233267200, 8747618880, 9261970560, 9774857920, 10287745280, 10800632640, 11313520000, 11826407360, 12339294720, 12852182080, 13362181760, 13872181440, 14382181120, 14892180800, 15402180480, 15912180160, 16422179840, 16926629440, 17431079040, 17935528640, 18439978240, 18944427840, 19448877440, 19953327040, 20446758400, 20940189760, 21433621120, 21927052480, 22420483840, 22913915200, 23407346560, 23879192000, 24351037440, 24822882880, 25294728320, 25766573760, 26238419200, 26710264640, 27139102080, 27567939520, 27996776960, 28425614400, 28854451840, 29283289280, 29712126720, 30097956160, 30483785600, 30869615040, 31255444480, 31641273920, 32027103360, 32412932800, 32755754240, 33098575680, 33441397120, 33784218560, 34127040000, 34469861440, 34812682880, 35112496320, 35412309760, 35712123200, 36011936640, 36311750080, 36611563520, 36911376960, 37168182400, 37424987840, 37681793280, 37938598720]",1.0973487808849662,1.1183265957993664
