name,acc
t_0=0.3,"[0.19680000000000009, 0.30000000000000004, 0.3536, 0.4124, 0.39180000000000004, 0.3992, 0.4504, 0.4346, 0.44320000000000004, 0.45799999999999996, 0.41859999999999997, 0.44820000000000004, 0.4596, 0.45020000000000004, 0.469, 0.46920000000000006, 0.46040000000000003, 0.46740000000000004, 0.47, 0.47319999999999995, 0.47619999999999996, 0.479, 0.48439999999999994, 0.4818, 0.4815999999999999, 0.4786, 0.4788, 0.48340000000000005, 0.4828, 0.47920000000000007, 0.484, 0.48560000000000003, 0.48219999999999996, 0.479, 0.4838, 0.48460000000000003, 0.48439999999999994, 0.485, 0.481, 0.48319999999999996, 0.4808, 0.483, 0.481, 0.481, 0.481, 0.481, 0.4808, 0.481, 0.4815999999999999, 0.4815999999999999]"
t_0=0.5,"[0.1906, 0.3538, 0.33019999999999994, 0.3323999999999999, 0.4182, 0.4554, 0.4706, 0.43579999999999997, 0.4796, 0.5294, 0.5434000000000001, 0.5511999999999999, 0.554, 0.5838000000000001, 0.5700000000000001, 0.5724, 0.5652, 0.5828, 0.5814, 0.593, 0.5924, 0.593, 0.5972, 0.5996, 0.5974, 0.591, 0.594, 0.5992, 0.5978, 0.5906, 0.6058, 0.6018, 0.6072, 0.6020000000000001, 0.6052, 0.6020000000000001, 0.5986, 0.6002000000000001, 0.6012, 0.6035999999999999, 0.6035999999999999, 0.6024, 0.6012, 0.6042000000000001, 0.6038, 0.6044, 0.6046, 0.6034, 0.603, 0.6034]"
t_0=0.8,"[0.3086, 0.27159999999999995, 0.2862, 0.4786, 0.2587999999999999, 0.406, 0.37340000000000007, 0.46099999999999997, 0.37060000000000004, 0.34099999999999997, 0.48319999999999996, 0.5556000000000001, 0.378, 0.5566, 0.46499999999999997, 0.5272, 0.5806, 0.5666, 0.5516, 0.6257999999999999, 0.6436, 0.655, 0.6564, 0.6514, 0.6544, 0.6604, 0.6714, 0.6768000000000001, 0.6764, 0.6766, 0.6724, 0.6806, 0.6826000000000001, 0.677, 0.685, 0.685, 0.6862, 0.6856, 0.6844, 0.6876, 0.685, 0.6856, 0.6839999999999999, 0.6854, 0.6872, 0.688, 0.687, 0.687, 0.6868000000000001, 0.687]"
